date,n_5min,sum_open_interest,sum_open_interest_value,count_toptrader_long_short_ratio,sum_toptrader_long_short_ratio,count_long_short_ratio,sum_taker_long_short_vol_ratio
2025-10-24,288,78214.94227777777,8662074368.24015,1.8237571903819432,1.0626837291666673,1.6560148420833332,1.0999645347222224
2025-10-25,288,78427.11096180568,8734932135.424934,1.6903697741666663,1.0824537048611111,1.4974007497916664,1.240347003472222
2025-10-26,288,80651.27284027774,9092701988.529716,1.526049212881944,1.0753261284722222,1.360402124930555,1.1082591944444442
2025-10-27,288,79690.19637500009,9169407285.002708,1.3397924047916656,1.2322082534722234,1.1700993614930562,1.0173093993055553
2025-10-28,288,77612.28981944453,8860925059.835,1.4270561423958332,1.3448967083333334,1.2697951686458333,1.1953424166666662
2025-10-29,288,77062.96161111111,8647837439.124851,1.903407461944444,1.3432219201388889,1.7323550722569447,1.1735139861111115
2025-10-30,288,78512.6186319445,8556399937.616536,2.515195357430555,1.2261996631944445,2.312219070659721,1.066629368055556
2025-10-31,288,75374.84229166665,8262741995.25699,2.211327107048611,1.5483819340277762,2.088367320138889,1.165287572916667
2025-11-01,288,77556.99774305556,8534748454.230861,2.074054307048611,1.9087003090277774,1.9095801743402758,1.1033787013888894
2025-11-02,288,76782.49490972224,8468024106.069948,2.0318083323958334,1.8789864618055567,1.8572740421874991,1.0943061527777769
2025-11-03,288,76700.33293055558,8248847191.153063,2.4688789734722234,1.8791658124999995,2.185566237048613,1.0678349270833338
2025-11-04,288,78444.93376041668,8133735543.328003,2.659876631423611,1.9627269340277766,2.4143307850347218,1.0583311562500002
2025-11-05,288,84154.8368993055,8625302252.531017,2.7858406206597226,1.8589875902777768,2.588068775972222,1.0943641875000003
2025-11-06,288,82645.72634027779,8471649988.248939,2.6724598051736113,2.000933197916667,2.360852097638889,1.0942616770833344
2025-11-07,288,84554.93364236112,8603097325.327293,2.9206665817361093,2.0417842534722217,2.6701517395138894,1.0287607986111111
2025-11-08,288,85001.44927430559,8692537792.850399,2.874586793124999,2.198158628472224,2.4852158719791664,1.0364610937499996
2025-11-09,288,84873.59873611113,8725547793.92271,2.7674451790277765,2.154449614583333,2.475755113090278,1.1629096111111115
2025-11-10,288,86919.99121527781,9203029476.415434,2.055163991458333,2.1189258784722234,1.8172048901736118,1.0251686631944446
2025-11-11,288,85275.41995833338,8915029553.64598,2.3100900306597216,2.0662815173611104,1.998667517708333,1.055423638888889
2025-11-12,288,85528.1170243056,8816740026.746931,2.596117384062499,2.029829708333333,2.3824308737500006,1.0847647534722218
2025-11-13,288,87212.98068055557,8853121929.922226,2.77684348434028,2.0508765069444435,2.5759009695486124,1.0826636666666667
2025-11-14,288,91474.4081736111,8845846320.761112,3.570507423125002,2.225377006944444,3.1718083700000017,1.0129144097222216
2025-11-15,288,96563.46395486114,9257558704.677347,3.4220139833680543,2.421231940972219,3.1218352954513895,1.1770222152777776
2025-11-16,288,97653.29294791663,9294680848.351454,3.655277112881944,2.42360084375,3.2337789428819446,1.1083782118055554
2025-11-17,288,98676.07352430555,9296843152.76395,3.6639865092013895,2.3642522430555557,3.175646602048611,0.994661875000001
2025-11-18,288,101812.84043055552,9341364461.697088,3.6866073455208337,2.5335069999999997,3.095884088749999,1.0507217187500004
2025-11-19,288,99963.34761805547,9093466681.20933,3.801289476527777,2.618453902777779,3.0703684455902773,1.0790295520833324
2025-11-20,288,101456.74538541665,9165908173.137888,3.752093382152775,2.6744066944444413,3.0098695484722233,1.0277227638888882
2025-11-21,288,101596.12814930562,8596619985.321924,3.940822538472221,2.6062088958333334,3.167659613506943,1.0071579826388894
2025-11-22,288,98727.06071874991,8329705644.493732,3.227635120381947,2.5187454236111133,2.4612486827083324,1.09247653125
2025-11-23,288,98405.39850347226,8511747525.105894,2.885479645694446,2.302982552083333,2.3723996595486136,1.0531308402777784
2025-11-24,288,95743.4289826389,8347776295.746327,2.7714587826041677,2.3154078055555556,2.223047150625001,1.0101009548611106
2025-11-25,288,91257.28154513889,7977691702.662647,2.8813031570833334,2.3459477152777772,2.268762275104166,1.0623879340277773
2025-11-26,288,89768.23484027783,7903014893.918398,2.7671570558333327,2.2924789097222216,2.241182311874999,1.0230037569444432
2025-11-27,288,90502.41372569445,8254908540.098982,1.9379309462847216,2.0458752534722198,1.5927499940277776,1.025870729166667
2025-11-28,288,90079.96653819439,8222628581.214223,1.917881021006944,2.135545010416667,1.580653557986111,1.1141982916666668
2025-11-29,288,88851.7105590278,8056935407.952384,2.0233869720833324,2.211566281249999,1.7174859988541664,1.1823449131944448
2025-11-30,288,89656.23931944444,8171014095.636307,1.9728010445138888,2.1507846979166674,1.7185973050347214,1.2266729618055559
2025-12-01,288,89969.25590625,7743747161.545811,2.6474485580902787,2.1499555520833336,2.16236696159722,1.0569206493055545
2025-12-02,288,89361.51146875002,7920291586.026821,2.0816773842708343,2.1181720729166655,1.8060998191666668,1.069716767361111
2025-12-03,288,89825.349,8338922192.334087,1.704010676145833,2.091447326388889,1.4316889718402788,1.119305760416668
2025-12-04,288,89219.95941666665,8280374576.498867,1.7595882206249993,2.171506628472224,1.4194722713541659,1.1130111562500002
2025-12-05,288,88719.29932291669,8062144323.922306,2.0015566407291674,2.1762348819444437,1.6239968196875,1.1383222256944447
2025-12-06,288,87574.58785763891,7839386287.573208,2.235778485590279,2.197965701388891,1.9178455606597222,1.0956245729166667
