date_prev,date,close_prev,close,r,r_bps,nights,tick_yen,cost_bps_cons,cost_bps_opt,r_net_bps_cons,r_net_bps_opt,pnl_yen_cons,price_scale_splice,is_TOM,is_WD-Mon,is_WD-Tue,is_WD-Wed,is_WD-Thu,is_WD-Fri,is_PH,is_SQm,is_SQq,split,decade,year
2012-07-27,2012-07-30,732.0,737.0,0.006830601092896238,68.30601092896238,3,,,,,,,False,False,True,False,False,False,False,False,False,False,val,2010s,2012
2012-07-30,2012-07-31,737.0,742.0,0.006784260515603879,67.84260515603879,1,,,,,,,False,True,False,True,False,False,False,False,False,False,val,2010s,2012
2012-07-31,2012-08-01,742.0,736.0,-0.008086253369272267,-80.86253369272268,1,,,,,,,False,True,False,False,True,False,False,False,False,False,val,2010s,2012
2012-08-01,2012-08-02,736.0,738.0,0.0027173913043478937,27.173913043478937,1,,,,,,,False,True,False,False,False,True,False,False,False,False,val,2010s,2012
2012-08-02,2012-08-03,738.0,728.1500244140625,-0.013346850387449205,-133.46850387449206,1,,,,,,,False,True,False,False,False,False,True,False,False,False,val,2010s,2012
2012-08-03,2012-08-06,728.1500244140625,742.0,0.01902077198594143,190.2077198594143,3,,,,,,,False,False,True,False,False,False,False,False,False,False,val,2010s,2012
2012-08-06,2012-08-07,742.0,751.0,0.0121293800539084,121.293800539084,1,,,,,,,False,False,False,True,False,False,False,False,False,False,val,2010s,2012
2012-08-07,2012-08-08,751.0,751.0,0.0,0.0,1,,,,,,,False,False,False,False,True,False,False,False,False,False,val,2010s,2012
2012-08-08,2012-08-09,751.0,758.0,0.009320905459387463,93.20905459387463,1,,,,,,,False,False,False,False,False,True,False,False,False,False,val,2010s,2012
2012-08-09,2012-08-10,758.0,755.0,-0.00395778364116095,-39.5778364116095,1,,,,,,,False,False,False,False,False,False,True,False,True,False,val,2010s,2012
2012-08-10,2012-08-13,755.0,751.0,-0.005298013245033095,-52.980132450330956,3,,,,,,,False,False,True,False,False,False,False,False,False,False,val,2010s,2012
2012-08-13,2012-08-14,751.0,756.0,0.0066577896138482195,66.5778961384822,1,,,,,,,False,False,False,True,False,False,False,False,False,False,val,2010s,2012
2012-08-14,2012-08-15,756.0,754.0,-0.002645502645502673,-26.455026455026733,1,,,,,,,False,False,False,False,True,False,False,False,False,False,val,2010s,2012
2012-08-15,2012-08-16,754.0,765.0,0.01458885941644561,145.8885941644561,1,,,,,,,False,False,False,False,False,True,False,False,False,False,val,2010s,2012
2012-08-16,2012-08-17,765.0,772.0,0.009150326797385588,91.50326797385588,1,,,,,,,False,False,False,False,False,False,True,False,False,False,val,2010s,2012
2012-08-17,2012-08-20,772.0,770.0,-0.002590673575129543,-25.90673575129543,3,,,,,,,False,False,True,False,False,False,False,False,False,False,val,2010s,2012
2012-08-20,2012-08-21,770.0,771.0,0.0012987012987013546,12.987012987013546,1,,,,,,,False,False,False,True,False,False,False,False,False,False,val,2010s,2012
2012-08-21,2012-08-22,771.0,769.0,-0.0025940337224383825,-25.940337224383825,1,,,,,,,False,False,False,False,True,False,False,False,False,False,val,2010s,2012
2012-08-22,2012-08-23,769.0,771.0,0.002600780234070177,26.00780234070177,1,,,,,,,False,False,False,False,False,True,False,False,False,False,val,2010s,2012
2012-08-23,2012-08-24,771.0,765.0,-0.0077821011673151474,-77.82101167315147,1,,,,,,,False,False,False,False,False,False,True,False,False,False,val,2010s,2012
2012-08-24,2012-08-27,765.0,762.0,-0.0039215686274509665,-39.215686274509665,3,,,,,,,False,False,True,False,False,False,False,False,False,False,val,2010s,2012
2012-08-27,2012-08-28,762.0,753.0,-0.011811023622047223,-118.11023622047223,1,,,,,,,False,False,False,True,False,False,False,False,False,False,val,2010s,2012
2012-08-28,2012-08-29,753.0,758.0,0.006640106241699861,66.40106241699861,1,,,,,,,False,False,False,False,True,False,False,False,False,False,val,2010s,2012
2012-08-29,2012-08-30,758.0,749.0,-0.01187335092348285,-118.7335092348285,1,,,,,,,False,False,False,False,False,True,False,False,False,False,val,2010s,2012
2012-08-30,2012-08-31,749.0,737.0,-0.01602136181575431,-160.2136181575431,1,,,,,,,False,True,False,False,False,False,True,False,False,False,val,2010s,2012
2012-08-31,2012-09-03,737.0,735.0,-0.0027137042062415073,-27.137042062415073,3,,,,,,,False,True,True,False,False,False,False,False,False,False,val,2010s,2012
2012-09-03,2012-09-04,735.0,732.0,-0.004081632653061273,-40.816326530612734,1,,,,,,,False,True,False,True,False,False,False,False,False,False,val,2010s,2012
2012-09-04,2012-09-05,732.0,725.0,-0.0095628415300546,-95.628415300546,1,,,,,,,False,True,False,False,True,False,False,False,False,False,val,2010s,2012
2012-09-05,2012-09-06,725.0,723.0,-0.0027586206896551557,-27.58620689655156,1,,,,,,,False,False,False,False,False,True,False,False,False,False,val,2010s,2012
2012-09-06,2012-09-07,723.0,742.0,0.026279391424619547,262.79391424619547,1,,,,,,,False,False,False,False,False,False,True,False,False,False,val,2010s,2012
2012-09-07,2012-09-10,742.0,744.0,0.0026954177897573484,26.954177897573484,3,,,,,,,False,False,True,False,False,False,False,False,False,False,val,2010s,2012
