date_prev,date,close_prev,close,r,r_bps,nights,close_prev_day_session,cost_bps_cons,cost_bps_opt,r_net_bps_cons,r_net_bps_opt,pnl_yen_cons,cost_bps_cons_fullday_base,sq_adjacent_excluded,is_TOM,is_WD-Mon,is_WD-Tue,is_WD-Wed,is_WD-Thu,is_WD-Fri,is_PH,is_SQm,is_SQq,split,decade,year,vol20,state_vol,state_prev_sign,state_regime,state_nights
1995-03-28,1995-03-29,16680.0,16510.0,-0.010191846522781822,-101.91846522781822,1,16680.0,7.314148681055157,1.3189448441247,-109.23261390887338,-103.23741007194292,-1822.0,7.314148681055157,False,False,False,False,True,False,False,False,False,False,train,1990s,1995,0.017007977792113986,3_高,2_正,1990s,1_1泊
1995-03-29,1995-03-30,16510.0,16550.0,0.0024227740763174133,24.227740763174133,1,16510.0,7.38946093276802,1.3325257419745609,16.838279830406112,22.895215021199572,278.0,7.38946093276802,False,False,False,False,False,True,False,False,False,False,train,1990s,1995,0.0170561440621333,3_高,1_非正,1990s,1_1泊
1995-03-30,1995-03-31,16550.0,16120.0,-0.02598187311178246,-259.8187311178246,1,16550.0,7.371601208459214,1.3293051359516617,-267.1903323262838,-261.14803625377624,-4422.0,7.371601208459214,False,True,False,False,False,False,True,False,False,False,train,1990s,1995,0.016289974531711632,3_高,2_正,1990s,1_1泊
1995-03-31,1995-04-03,16120.0,15430.0,-0.04280397022332505,-428.0397022332505,3,16120.0,7.568238213399503,1.3647642679900744,-435.60794044665005,-429.4044665012406,-7022.0,7.568238213399503,False,True,True,False,False,False,False,False,False,False,train,1990s,1995,0.01623204985739108,3_高,1_非正,1990s,2_2〜3泊
1995-04-03,1995-04-04,15430.0,15690.0,0.016850291639662895,168.50291639662896,1,15430.0,7.906675307841867,1.425793907971484,160.59624108878708,167.07712248865747,2478.0,7.906675307841867,False,True,False,True,False,False,False,False,False,False,train,1990s,1995,0.018454988362059693,3_高,1_非正,1990s,1_1泊
1995-04-04,1995-04-05,15690.0,15940.0,0.015933715742511234,159.33715742511234,1,15690.0,7.775653282345443,1.4021669853409815,151.5615041427669,157.93499043977135,2378.0,7.775653282345443,False,True,False,False,True,False,False,False,False,False,train,1990s,1995,0.019076380418665682,3_高,2_正,1990s,1_1泊
1995-04-05,1995-04-06,15940.0,15800.0,-0.008782936010037656,-87.82936010037656,1,15940.0,7.653701380175658,1.3801756587202008,-95.48306148055222,-89.20953575909677,-1522.0,7.653701380175658,False,False,False,False,False,True,False,False,False,False,train,1990s,1995,0.019590122033136925,3_高,2_正,1990s,1_1泊
1995-04-06,1995-04-07,15800.0,15770.0,-0.0018987341772152,-18.987341772152,1,15800.0,7.7215189873417724,1.3924050632911391,-26.708860759493774,-20.37974683544314,-422.0,7.7215189873417724,False,False,False,False,False,False,True,False,False,False,train,1990s,1995,0.019145074962780163,3_高,1_非正,1990s,1_1泊
1995-04-07,1995-04-10,15770.0,16260.0,0.03107165504121756,310.7165504121756,3,15770.0,7.736207989854153,1.3950538998097655,302.9803424223214,309.32149651236585,4778.0,7.736207989854153,False,False,True,False,False,False,False,False,False,False,train,1990s,1995,0.01907153777369446,3_高,1_非正,1990s,2_2〜3泊
1995-04-10,1995-04-11,16260.0,16320.0,0.0036900369003689537,36.90036900368953,1,16260.0,7.503075030750307,1.3530135301353015,29.397293972939227,35.547355473554234,478.0,7.503075030750307,False,False,False,True,False,False,False,False,False,False,train,1990s,1995,0.020007801503812078,3_高,2_正,1990s,1_1泊
1995-04-11,1995-04-12,16320.0,16400.0,0.004901960784313708,49.01960784313708,1,16320.0,7.4754901960784315,1.3480392156862744,41.54411764705865,47.6715686274508,678.0,7.4754901960784315,False,False,False,False,True,False,False,False,False,False,train,1990s,1995,0.019985122592694374,3_高,2_正,1990s,1_1泊
1995-04-12,1995-04-13,16400.0,16470.0,0.004268292682926722,42.68292682926722,1,16400.0,7.439024390243903,1.3414634146341464,35.243902439023316,41.34146341463307,578.0,7.439024390243903,False,False,False,False,False,True,False,False,False,False,train,1990s,1995,0.019850761144638303,3_高,2_正,1990s,1_1泊
1995-04-13,1995-04-14,16470.0,16100.0,-0.022465088038858494,-224.65088038858494,1,16470.0,7.407407407407407,1.3357619914996965,-232.05828779599236,-225.98664238008465,-3822.0,7.407407407407407,False,False,False,False,False,False,True,False,True,False,train,1990s,1995,0.018882715643947796,3_高,2_正,1990s,1_1泊
1995-04-14,1995-04-17,16100.0,16350.0,0.01552795031055898,155.2795031055898,3,16100.0,7.577639751552795,1.3664596273291925,147.70186335403702,153.91304347826062,2378.0,7.577639751552795,False,False,True,False,False,False,False,False,False,False,train,1990s,1995,0.0192314614814867,3_高,1_非正,1990s,2_2〜3泊
1995-04-17,1995-04-18,16350.0,16230.0,-0.007339449541284404,-73.39449541284404,1,16350.0,7.461773700305811,1.3455657492354742,-80.85626911314985,-74.74006116207951,-1322.0,7.461773700305811,False,False,False,True,False,False,False,False,False,False,train,1990s,1995,0.019352841516341174,3_高,2_正,1990s,1_1泊
1995-04-18,1995-04-19,16230.0,16420.0,0.011706715958102354,117.06715958102353,1,16230.0,7.5169439309919905,1.3555144793592113,109.55021565003155,115.71164510166432,1778.0,7.5169439309919905,False,False,False,False,True,False,False,False,False,False,train,1990s,1995,0.0194116497551806,3_高,1_非正,1990s,1_1泊
1995-04-19,1995-04-20,16420.0,16690.0,0.016443361753958552,164.43361753958553,1,16420.0,7.429963459196102,1.3398294762484775,157.00365408038942,163.09378806333706,2578.0,7.429963459196102,False,False,False,False,False,True,False,False,False,False,train,1990s,1995,0.019494653749489728,3_高,2_正,1990s,1_1泊
1995-04-20,1995-04-21,16690.0,17000.0,0.018573996405032878,185.73996405032878,1,16690.0,7.309766327142001,1.318154583582984,178.43019772318678,184.4218094667458,2978.0,7.309766327142001,False,False,False,False,False,False,True,False,False,False,train,1990s,1995,0.019255850190311712,3_高,2_正,1990s,1_1泊
1995-04-21,1995-04-24,17000.0,16850.0,-0.008823529411764675,-88.23529411764675,3,17000.0,7.176470588235294,1.2941176470588234,-95.41176470588204,-89.52941176470557,-1622.0,7.176470588235294,False,False,True,False,False,False,False,False,False,False,train,1990s,1995,0.019551607757991283,3_高,2_正,1990s,2_2〜3泊
1995-04-24,1995-04-25,16850.0,16900.0,0.0029673590504450953,29.673590504450953,1,16850.0,7.240356083086054,1.3056379821958457,22.4332344213649,28.367952522255106,378.0,7.240356083086054,False,False,False,True,False,False,False,False,False,False,train,1990s,1995,0.019462934494062265,3_高,1_非正,1990s,1_1泊
1995-04-25,1995-04-26,16900.0,16880.0,-0.0011834319526626835,-11.834319526626835,1,16900.0,7.218934911242603,1.301775147928994,-19.053254437869438,-13.13609467455583,-322.0,7.218934911242603,False,False,False,False,True,False,False,False,False,False,train,1990s,1995,0.017595887357622148,3_高,2_正,1990s,1_1泊
1995-04-26,1995-04-27,16880.0,16950.0,0.004146919431279539,41.46919431279539,1,16880.0,7.227488151658768,1.3033175355450237,34.24170616113662,40.16587677725036,578.0,7.227488151658768,False,False,False,False,False,True,False,False,False,False,train,1990s,1995,0.017413971776108574,3_高,1_非正,1990s,1_1泊
1995-04-27,1995-04-28,16950.0,16820.0,-0.007669616519174083,-76.69616519174083,1,16950.0,7.1976401179941,1.2979351032448376,-83.89380530973493,-77.99410029498567,-1422.0,7.1976401179941,False,True,False,False,False,False,True,False,False,False,train,1990s,1995,0.017424327094212464,3_高,2_正,1990s,1_1泊
1995-04-28,1995-05-01,16820.0,16840.0,0.0011890606420927874,11.890606420927874,3,16820.0,7.253269916765754,1.3079667063020215,4.6373365041621195,10.582639714625852,78.0,7.253269916765754,False,True,True,False,False,False,False,False,False,False,train,1990s,1995,0.016361784554507486,3_高,1_非正,1990s,2_2〜3泊
1995-05-01,1995-05-02,16840.0,17120.0,0.016627078384798155,166.27078384798156,1,16840.0,7.244655581947743,1.306413301662708,159.02612826603382,164.96437054631886,2678.0,7.244655581947743,False,True,False,True,False,False,False,True,False,False,train,1990s,1995,0.012482492549701307,2_中,2_正,1990s,1_1泊
1995-05-02,1995-05-08,17120.0,17160.0,0.002336448598130758,23.36448598130758,6,17120.0,7.126168224299065,1.2850467289719625,16.238317757008517,22.079439252335618,278.0,7.126168224299065,False,True,True,False,False,False,False,False,False,False,train,1990s,1995,0.012470921380292892,2_中,2_正,1990s,3_4泊以上
1995-05-08,1995-05-09,17160.0,17030.0,-0.007575757575757569,-75.7575757575757,1,17160.0,7.10955710955711,1.2820512820512822,-82.86713286713281,-77.03962703962698,-1422.0,7.10955710955711,False,False,False,True,False,False,False,False,False,False,train,1990s,1995,0.012178810055593152,2_中,2_正,1990s,1_1泊
