属性,群,下限,上限,m の群,T(秒),h(秒),群の束数,属性が欠測で群に入らない束の割合,n,含む日数,r_end 平均(bp),r_end 日クラスタ SE,r_end naive SE,日クラスタ/naive,r_end 日等重み平均,次の束が 120 秒以内の割合,次の束が 120 秒以内の母数,次の束の間隔が無い束,r_end > 0 の割合,r_end > 0 の母数
|dist_node_bp|,Q3(上位 3 分位),60.772800,,Q2(中位 3 分位),60,900,2294,0.000000,2294,376,-8.126728,1.160476,0.978593,1.185862,-10.377777,0.217237,2251,43,0.381430,2294
|dist_node_bp|,Q3(上位 3 分位),60.772800,,Q3(上位 3 分位),60,60,3088,0.000000,3088,372,-12.974535,0.445430,0.297849,1.495490,-11.502519,0.237643,3055,33,0.178756,3088
|dist_node_bp|,Q3(上位 3 分位),60.772800,,Q3(上位 3 分位),60,300,3088,0.000000,3088,372,-12.767064,0.722052,0.746962,0.966652,-12.958942,0.237643,3055,33,0.331606,3088
|dist_node_bp|,Q3(上位 3 分位),60.772800,,Q3(上位 3 分位),60,900,3088,0.000000,3088,372,-11.204274,1.320622,1.160822,1.137661,-14.335083,0.237643,3055,33,0.373705,3088
bin_pct,Q1(下位 3 分位),,16.666700,Q1(下位 3 分位),60,60,2265,0.000000,2265,433,-5.512347,0.209784,0.182905,1.146957,-5.830314,0.187641,2217,48,0.241501,2265
bin_pct,Q1(下位 3 分位),,16.666700,Q1(下位 3 分位),60,300,2265,0.000000,2265,433,-6.525794,0.463331,0.394835,1.173479,-7.228355,0.187641,2217,48,0.319647,2265
bin_pct,Q1(下位 3 分位),,16.666700,Q1(下位 3 分位),60,900,2265,0.000000,2265,433,-7.206866,0.772346,0.652411,1.183833,-8.556121,0.187641,2217,48,0.354967,2265
bin_pct,Q1(下位 3 分位),,16.666700,Q2(中位 3 分位),60,60,2492,0.000000,2492,429,-8.433385,0.260582,0.224475,1.160854,-8.663004,0.205306,2450,42,0.180177,2492
bin_pct,Q1(下位 3 分位),,16.666700,Q2(中位 3 分位),60,300,2492,0.000000,2492,429,-8.048876,0.557444,0.539899,1.032497,-9.249012,0.205306,2450,42,0.314607,2492
bin_pct,Q1(下位 3 分位),,16.666700,Q2(中位 3 分位),60,900,2492,0.000000,2492,429,-8.405758,0.942272,0.810267,1.162915,-10.284363,0.205306,2450,42,0.360754,2492
bin_pct,Q1(下位 3 分位),,16.666700,Q3(上位 3 分位),60,60,2393,0.000000,2393,409,-12.913574,0.422749,0.298318,1.417107,-11.820068,0.224852,2366,27,0.135395,2393
bin_pct,Q1(下位 3 分位),,16.666700,Q3(上位 3 分位),60,300,2393,0.000000,2393,409,-13.663907,0.644095,0.640714,1.005276,-13.149951,0.224852,2366,27,0.301295,2393
bin_pct,Q1(下位 3 分位),,16.666700,Q3(上位 3 分位),60,900,2393,0.000000,2393,409,-15.074993,1.180692,1.081167,1.092053,-16.155398,0.224852,2366,27,0.323861,2393
bin_pct,Q2(中位 3 分位),16.666700,55.882400,Q1(下位 3 分位),60,60,2402,0.000000,2402,441,-3.817663,0.202163,0.184795,1.093989,-3.474347,0.158710,2325,77,0.331807,2402
bin_pct,Q2(中位 3 分位),16.666700,55.882400,Q1(下位 3 分位),60,300,2402,0.000000,2402,441,-4.194651,0.403075,0.419549,0.960734,-3.985750,0.158710,2325,77,0.368027,2402
bin_pct,Q2(中位 3 分位),16.666700,55.882400,Q1(下位 3 分位),60,900,2402,0.000000,2402,441,-4.862100,0.674935,0.645819,1.045083,-5.656619,0.158710,2325,77,0.382182,2402
bin_pct,Q2(中位 3 分位),16.666700,55.882400,Q2(中位 3 分位),60,60,2288,0.000000,2288,409,-5.269554,0.232392,0.214448,1.083675,-4.913210,0.167710,2236,52,0.280157,2288
bin_pct,Q2(中位 3 分位),16.666700,55.882400,Q2(中位 3 分位),60,300,2288,0.000000,2288,409,-5.659621,0.450850,0.470017,0.959220,-5.767142,0.167710,2236,52,0.364948,2288
