draw,seconds,max_mean_net_bps_full,max_sharpe_full,min_n_full,max_mean_net_bps_train,max_sharpe_train,min_n_train,max_mean_net_bps_val,max_sharpe_val,min_n_val
1574,1.1143710080068558,-3.682150810403931,-2.576280983559749,8367,-3.6772828998676133,-2.3368119382580073,5624,-3.546362629331923,-3.4143578045925165,2743
1575,1.156289492995711,-3.773990891810304,-2.5496431046510892,8347,-3.7972962666020313,-2.3982831986270265,5929,-3.3962447825861224,-3.1673717123566036,2418
1576,1.2163001139997505,-3.7265181944553007,-2.6818231985089755,8372,-3.665111351465732,-2.4604768016861875,5858,-3.599801755400335,-3.5079013742968583,2514
1577,1.291489013005048,-3.6741607429608405,-2.53129087614177,8414,-3.556367809254843,-2.3989038365922757,5866,-3.6846002968855833,-3.4045834951911704,2548
1578,1.2932789100013906,-3.455794053321354,-2.4246159712478073,8332,-3.5902701337938647,-2.3001485839215756,5694,-3.1332097294071874,-2.9722127633732667,2638
1579,1.3809950119903078,-3.6511219646687207,-2.4317078133705556,8308,-3.72609384739625,-1.9646449944402493,5757,-3.451914014101,-4.130450715590614,2551
1580,1.1548381539905677,-3.5887724880136473,-2.5386622725355776,8369,-3.5940894551608094,-2.6687956812659595,5902,-2.8980895232562873,-1.9065739227504448,2467
1581,1.1243891510093817,-3.9727425394615903,-2.9361962633639966,8264,-4.197870253848043,-3.057139641000776,5769,-3.2322116056274908,-2.773300354313271,2495
1582,1.1640086050028913,-3.544669678011219,-2.2705776709522687,8358,-3.333806322267529,-2.030983835448055,5722,-3.6214157813278915,-3.079961951288273,2636
1583,1.209536415990442,-3.7192976567364116,-2.5524603856327492,8262,-3.8260496852365975,-2.2676550151775405,5750,-3.416530283177721,-3.234531633072871,2512
1584,1.2475560090097133,-4.024060199109169,-2.847786002693337,8418,-3.9198423202796,-2.553161560729662,6051,-3.929834764344892,-4.22123181517143,2367
1585,1.252055991004454,-3.6116784870519947,-2.892482524934023,8325,-3.6052484332710857,-2.507175031267317,5735,-3.512436573178907,-3.369905158874549,2590
1586,1.3875083139864728,-3.5261847572406224,-2.147421728912981,8329,-3.655343861371391,-1.8114047646641982,5696,-3.169695620200288,-3.2915972165621583,2633
1587,1.1481435379973846,-3.7320318317908328,-2.5329287618671468,8403,-3.7844999409408535,-2.5548688004985913,6011,-3.4439241151659963,-2.6191844410245486,2392
1588,1.1372855249937857,-3.6588878277609607,-2.93098239505563,8300,-3.8338324457654087,-2.7458646967927125,6024,-3.177171189009275,-3.7983939194572645,2276
1589,1.261149685989949,-3.4959330321718203,-1.6284749434169086,8328,-3.5893230500719264,-1.5437066776102855,5933,-3.0252020356524585,-2.1607148048564513,2395
1590,1.1563112349977018,-3.4363640131128927,-2.7067940100342995,8377,-3.380950044115216,-2.2960169549931875,5867,-3.571513041075939,-3.7877970831922982,2510
1591,1.2049136739951791,-3.7316399292451563,-2.2711065831798245,8372,-3.87867091814179,-2.3236596772391795,5840,-2.7700584719470416,-2.3250801661179543,2532
1592,1.4379952040035278,-3.8346033451934747,-3.0146894102446047,8325,-3.90514112545801,-3.0045261161343784,5960,-3.556214589403077,-3.2196572785329765,2365
1593,1.2763387479935773,-3.4118768661914642,-2.8104336554948364,8421,-3.3332124809359085,-2.3851334705126344,5761,-3.3166994152964735,-3.1199702394800526,2660
1594,1.4177052279992495,-3.365187669356451,-2.6402467535435834,8355,-3.4047075222872256,-2.571888131941894,5843,-3.271771242000337,-3.2529561666744793,2512
1595,1.2283232229965506,-3.687189602084936,-2.248076045078154,8342,-3.882489852606077,-2.0949728764186997,5905,-3.1261760877925866,-3.0787352292153884,2437
1596,1.447817819993361,-3.7876218027089763,-2.6293169721952045,8382,-3.874519601568205,-2.5850437681927083,5909,-2.270553130295283,-1.2577930870538667,2473
1597,1.1527877430053195,-3.465616555335923,-2.5914511960027444,8297,-3.398837408684296,-2.338861655827041,5907,-3.4042490342783585,-3.605260371016418,2390
1598,1.3130310570122674,-3.846365926703542,-2.4892578456449805,8444,-3.828162049301634,-2.2454458540309434,5818,-3.719355000842385,-3.4065752283668442,2626
1599,1.1670692679908825,-3.5465920179151693,-3.16388460410486,8339,-3.4889426219834037,-3.169738581127523,5715,-3.4123802644468553,-3.3150840521323603,2624
1600,1.1622540339885745,-3.516197467964015,-2.068996628139335,8431,-3.6610231016422903,-2.0930652978605853,6096,-2.832355854271672,-2.090256501188667,2335
1601,1.153902008998557,-3.6240533282084484,-2.9832402126870012,8348,-3.413682763318725,-2.746004786305476,5841,-3.5372378104335116,-3.951908561314991,2507
1602,1.1833668769977521,-3.380414174195166,-3.24278357980498,8371,-3.266087684289785,-3.017901152125748,5668,-3.160878336483437,-3.951484401430032,2703
1603,1.1521077430079458,-3.4059978568964224,-2.832425796041017,8366,-3.7492177288686817,-2.5226194819273626,5862,-2.5488900232649714,-3.0086532687661056,2504
1604,1.2392901050043292,-3.6429675888910413,-2.2115381025152194,8396,-3.640370403446484,-1.9667895652766365,5903,-3.435828564651991,-3.3809854677402464,2493
1605,1.141399599990109,-3.924652969010052,-3.3414774240573175,8369,-3.9227212129675686,-3.2513347176441822,5596,-3.6197178562470755,-3.6224068145809283,2773
1606,1.1216576580045512,-3.742288571986399,-2.6019473888872033,8412,-3.7552460132909675,-2.4560883340318633,5842,-3.441373036375871,-3.389180374652731,2570
1607,1.1097940400068182,-3.527000899915476,-2.426110011039467,8355,-3.618907453417291,-2.4576775338517862,6020,-2.9423034146709464,-2.6349562560788775,2335
1608,1.243325746996561,-3.48544053652803,-2.793314188777858,8339,-3.4793296683404096,-2.9473165209972283,5998,-3.3416664227747126,-2.599891544416261,2341
1609,1.1699696720024804,-3.2857650481147664,-1.7031864582232255,8333,-3.1649712152372107,-1.5989930146484481,5848,-3.414066412697215,-2.268799433819956,2485
1610,1.2571407570067095,-3.5453336190747686,-2.6314110645355453,8352,-3.76254445904483,-2.470717523953126,5819,-2.9886186939582124,-3.458676301503255,2533
1611,1.1609300639975118,-3.4422684996561332,-1.8478675898058599,8345,-3.384156892490914,-1.6961682296575566,5807,-3.49362092504046,-2.636325444855814,2538
1612,1.1672206530056428,-3.7426955863619593,-2.653247394124156,8365,-3.8125213463162435,-2.681854486549046,5972,-3.3857698402707013,-2.715612505051811,2393
1613,1.0908629180048592,-3.2811713762774457,-2.9909892910598797,8375,-3.1576285044075023,-2.9736536205383683,5551,-3.463347439439336,-3.1099875104102863,2824
1614,1.1302902170136804,-3.4718359615978964,-2.374737721973505,8400,-3.3709384885115488,-2.1330178647323477,5825,-3.5162880058729518,-3.3130658382005675,2575
1615,1.1185158750013215,-3.826512787085361,-2.6719060335888867,8303,-3.6683284518873736,-2.434818138578194,5929,-3.7596580243909856,-3.85341157377823,2374
