draw,mean_net_bps,sharpe,n
95,-4.056997355707946,-8.395842525122658,63836
96,-3.882487599388914,-7.978097112890522,63884
97,-3.642395326534211,-7.519641031198473,63870
98,-4.056282520964526,-8.458354040880726,63920
99,-3.767848579835105,-7.601423563609626,63897
100,-3.838777506646684,-8.054654294795899,63881
101,-3.833882582982475,-7.893997313362055,63885
102,-3.86836001489872,-7.915885422376529,63892
103,-3.9464607237397478,-7.506618294618472,63864
104,-3.8796753661208556,-7.039412524964248,63850
105,-3.9995151426129114,-7.4549167024942,63872
106,-3.6175830855774587,-6.958178580587523,63852
107,-3.8843635237263987,-8.096464794333874,63898
108,-4.249829696719242,-7.923162615083973,63854
109,-4.1924718435906465,-8.254110732374293,63839
110,-3.740039849686852,-7.272603837141085,63926
111,-3.712039205897464,-7.581721042753637,63895
112,-3.8860384191790196,-8.197355467514978,63867
113,-4.007458928451426,-8.279756225251033,63875
114,-3.9706695885291374,-6.749049466821288,63846
115,-4.078022766364134,-7.6957526952395074,63859
116,-3.8739570956524254,-7.562796987705513,63835
117,-3.89733276824266,-8.528485643369544,63861
118,-3.8063179047307636,-7.329902416330746,63887
119,-4.018406730492897,-7.965223638345931,63860
120,-3.664204700768118,-7.311434277681899,63873
121,-4.160752651160616,-8.345223095377138,63880
122,-4.0306865992205445,-7.6454033674202195,63882
123,-3.885378217986724,-7.843965083537797,63849
124,-3.8427738451328013,-7.845658571841844,63879
125,-4.050634355705647,-8.19570860470387,63853
126,-3.937179265826536,-8.074799975526854,63846
127,-3.913522618870686,-7.624704309682754,63897
128,-4.353689035762204,-8.618569873557407,63886
129,-3.5007299595871144,-7.078337285810594,63872
130,-4.0255095454855185,-7.987495308865534,63943
131,-3.8011290352713925,-7.490800801794202,63867
132,-4.037133213620266,-7.840028406165275,63889
133,-3.823033659988734,-8.02267725220068,63863
134,-3.7334209692267857,-7.5509514007835605,63851
135,-3.8853929843185946,-7.854549007829859,63882
136,-3.867903948380347,-7.995451943750289,63878
137,-4.108367427152337,-8.428784572083938,63872
138,-3.904772704969894,-7.9752921727796595,63861
139,-3.998954982904178,-7.7512482583336855,63905
140,-4.155674420191229,-8.721642844404641,63893
141,-3.2508530481375733,-6.445791241366431,63879
142,-4.17512292159398,-8.40365762191992,63912
143,-4.048896433945445,-8.088547499693625,63894
144,-3.7822682817855444,-7.617485288174797,63848
145,-4.019493713531833,-7.807234098469882,63862
146,-3.4432643869931585,-6.861992560966317,63847
147,-4.148415211923771,-8.339483574123822,63889
148,-3.836658624913954,-7.538077844855647,63898
149,-3.894434468650797,-7.823011323558735,63874
150,-3.605073979828827,-7.409787416043355,63900
151,-4.046035216136292,-8.371131331698702,63823
152,-4.0266777852022235,-8.061908186329724,63888
153,-3.661252585038881,-7.441842706539972,63876
154,-3.9203291990740468,-7.441697374581699,63867
155,-4.2413008947850805,-7.823771639430168,63883
156,-3.9050487474233058,-7.680566492353315,63866
157,-3.9553977864725227,-8.30961060428466,63897
158,-4.15561033997566,-8.586948011361297,63875
159,-4.4488299970726395,-8.395977253211367,63874
160,-3.9017123484034437,-7.857286054597656,63902
161,-3.8548139652721227,-8.241409721005052,63851
