k,thr,stop,period,is_current,n_entry_signal_bars,n_entry_signals_discarded,n_total_in_period,n_excluded_gap,n,mean_net_bps,ci_lo,ci_hi,se_cluster,sharpe,sharpe_ci_lo,sharpe_ci_hi,win_rate,max_dd_bps,mean_hold_min,stop_rate,mean_funding_bps,mean_gross_bps,sd_net_bps,n_days,deferred_minutes,trades_with_deferral,mean_cost_bps,sum_pnl_jpy_001btc
15,1.2,0.25,val,False,72177,265,1973,17,1956,-11.803321373350999,-14.055867587066249,-9.426892910615482,1.193924064620104,-4.94309637556669,-6.1733736017080245,-3.9043342307164526,0.21216768916155418,23087.29660627454,8.642126789366053,0.7944785276073619,0.026584867075664622,-5.069295112326901,60.840936366290556,713,0,0,6.707441393948434,-87749.4331437029
15,1.2,0.5,full,False,72177,265,11720,109,11611,-9.978511085065,-11.64970839216006,-8.23122358946317,0.8955246629910818,-3.81996130787695,-4.515105723718725,-3.185311054450314,0.2656101972267677,115872.23067764603,14.306261303935923,0.6039100852639738,0.06407716820256654,-3.2069925229139993,100.81815725174155,2311,7,2,6.707441393948434,-277798.9185414062
15,1.2,0.5,train,False,72177,265,10192,85,10107,-9.390565300667657,-11.376898833695597,-7.577014075691751,0.9746455091967161,-3.9252652630640217,-4.7333973127356055,-3.168566174823966,0.2651627584842189,95211.29305280316,14.209557732264766,0.6136341149698229,0.06530127634312853,-2.6178226303760948,104.12749142234792,1598,7,2,6.707441393948434,-197887.74351543462
15,1.2,0.5,val,False,72177,265,1528,24,1504,-13.92955366678305,-17.058523095677927,-10.44230142743523,1.6735172288527635,-4.449747949247186,-5.635788005177656,-3.3677636425940447,0.26861702127659576,20950.04871484171,14.956117021276595,0.538563829787234,0.05585106382978723,-7.166261209004829,74.78470746330105,713,0,0,6.707441393948434,-79911.17502597164
15,1.2,1.0,full,False,72177,265,9497,131,9366,-9.289766808045291,-11.370794912601788,-7.1861915574703215,1.0679449604095657,-3.1536482306178937,-3.8670731798720164,-2.4394167278429766,0.33045056587657484,87019.69439310783,21.673286354900704,0.2792013666453128,0.09288917360666239,-2.489436240490195,118.79415614548923,2311,3,2,6.707441393948434,-240932.91950923012
15,1.2,1.0,train,False,72177,265,8180,103,8077,-8.62868092557519,-10.958575564269593,-6.216733821962,1.2188934098766075,-3.1471600524733376,-3.9864801021973237,-2.284436691684071,0.3319301720935991,70028.02163862227,21.649498576204035,0.28748297635260617,0.09508480871610747,-1.8261547229106467,123.09937586696198,1598,3,2,6.707441393948434,-175040.3634632935
15,1.2,1.0,val,False,72177,265,1317,28,1289,-13.43219556887618,-17.02360899363115,-9.590650241229426,1.8921797725829623,-4.364971687375879,-5.595994292681508,-3.098440000877677,0.32117920868890615,17314.100088281404,21.82234290147401,0.2273079906904577,0.0791311093871218,-6.645623065540625,87.02466463610656,713,0,0,6.707441393948434,-65892.5560459366
30,0.4,0.25,full,False,830863,3061,72468,791,71677,-4.648442902788692,-5.041359773748273,-4.249488327471088,0.20281013339946521,-8.195433448010357,-9.060206813029392,-7.435663320168564,0.2464109826025085,333341.05882395426,17.58282294180839,0.559496072659291,0.0741381475229153,-1.1601456523598412,58.484238374780574,2314,268,205,3.414159102905935,-861619.0769988592
30,0.4,0.25,train,False,830863,3061,57838,536,57302,-4.833570595080335,-5.289061982471885,-4.390895841848666,0.23503703170301668,-8.76210098531981,-9.772993604876392,-7.845939201648513,0.2394157271997487,277431.9694225542,16.7558200411853,0.5863669679941363,0.07109699486928903,-1.3483144973051113,61.04726700904184,1598,58,38,3.414159102905935,-635696.5289153748
30,0.4,0.25,val,False,830863,3061,14630,255,14375,-3.9104820663576825,-4.595156905036323,-3.2039802999624607,0.3543568908225294,-7.570764283854488,-9.13684596344283,-6.065245856205069,0.27429565217391305,56277.74868728129,20.87944347826087,0.45238260869565217,0.08626086956521739,-0.41006209388652975,46.88995976678841,716,210,167,3.414159102905935,-225922.5480834844
30,0.4,0.5,full,False,830863,3061,56993,882,56111,-4.778957700878056,-5.315402887445593,-4.258143781423199,0.26565793215437894,-6.769630353144355,-7.594633232778402,-5.997759483567971,0.2880718575680348,269583.57574256766,24.06743775730249,0.23658462690025128,0.10069326869954198,-1.2641053292725792,67.59325075546813,2314,257,195,3.414159102905935,-741658.9100864477
30,0.4,0.5,train,False,830863,3061,44599,600,43999,-4.945504899011637,-5.536731006715749,-4.249745428600984,0.32365704767376674,-7.054839678805183,-8.050641076803904,-6.088392531250755,0.2829837041750949,219315.88787327963,23.4380099547717,0.25884679197254484,0.09900225005113752,-1.4323435460545644,71.15052496939535,1598,51,33,3.414159102905935,-540056.2727727554
