code,name,market,perk_flag,kenri_month
3768,リスクモンスター,standard,1,9月
3769,ＧＭＯペイメントゲートウェイ,prime,1,3月・9月
3771,システムリサーチ,prime,1,9月
3772,ウェルス・マネジメント,standard,1,6月・9月・12月
3778,さくらインターネット,prime,1,3月・9月
3788,ＧＭＯグローバルサイン・ホールディングス,prime,1,6月・12月
3796,いい生活,standard,1,9月
3799,キーウェアソリューションズ,standard,1,3月・9月
3800,ユニリタ,standard,1,3月
3802,エコミック,standard,1,3月
3823,ＴＨＥ　ＷＨＹ　ＨＯＷ　ＤＯ　ＣＯＭＰＡＮＹ,standard,1,2月
3826,システムインテグレータ,standard,1,8月
3839,ＯＤＫソリューションズ,standard,1,3月・9月
3842,ネクストジェン,standard,1,3月
3843,フリービット,prime,1,4月
3844,コムチュア,prime,1,3月・9月
3848,データ・アプリケーション,standard,1,3月
3853,アステリア,prime,1,3月
3861,王子ホールディングス,prime,1,3月・9月
3863,日本製紙,prime,1,3月
3864,三菱製紙,prime,1,3月
386A,みのや,standard,1,6月
3880,大王製紙,prime,1,3月
3892,岡山製紙,standard,1,5月
3903,ｇｕｍｉ,prime,1,4月・10月
3908,コラボス,standard,1,3月
3912,モバイルファクトリー,standard,1,3月・9月
3922,ＰＲ　ＴＩＭＥＳ,prime,1,2月
3926,オープンドア,standard,1,3月
3927,フーバーブレイン,standard,1,3月
3934,ベネフィットジャパン,standard,1,3月
3935,エディア,standard,1,2月
3939,カナミックネットワーク,prime,1,9月
3943,大石産業,standard,1,3月
3946,トーモク,prime,1,3月・8月
3950,ザ・パック,prime,1,6月・12月
3954,昭和パックス,standard,1,3月
3958,笹徳印刷,standard,1,6月
3962,チェンジホールディングス,prime,1,6月・12月
3964,オークネット,prime,1,9月・12月
3965,キャピタル・アセット・プランニング,standard,1,9月
3968,セグエグループ,prime,1,12月
3969,エイトレッド,standard,1,3月・9月
3974,ＳＣＡＴ,standard,1,10月
3981,ビーグリー,standard,1,12月
3983,オロ,prime,1,12月
3984,ユーザーローカル,prime,1,6月
3985,テモナ,standard,1,3月・9月
3986,ビーブレイクシステムズ,standard,1,6月
3992,ニーズウェル,prime,1,3月
3994,マネーフォワード,prime,1,5月・11月
3997,トレードワークス,standard,1,12月
4008,住友精化,prime,1,3月・9月
4016,ＭＩＴホールディングス,standard,1,11月
4025,多木化学,prime,1,12月
4040,南海化学,standard,1,3月
4045,東亞合成,prime,1,12月
4051,ＧＭＯフィナンシャルゲート,prime,1,3月・9月
4053,Ｓｕｎ　Ａｓｔｅｒｉｓｋ,prime,1,12月
4061,デンカ,prime,1,3月・9月
4064,日本カーバイド工業,prime,1,3月・9月
4072,電算システムホールディングス,prime,1,12月
4088,エア・ウォーター,prime,1,3月
4094,日本化学産業,standard,1,3月・9月
409A,オリオンビール,prime,1,3月
4102,丸尾カルシウム,standard,1,3月
4124,大阪油化工業,standard,1,3月・9月
417A,ブルーゾーンホールディングス,prime,1,3月
4193,ファブリカホールディングス,standard,1,3月・9月
4196,ネオマーケティング,standard,1,9月
4197,アスマーク,standard,1,11月
4218,ニチバン,prime,1,9月
4220,リケンテクノス,prime,1,3月・9月
4221,大倉工業,prime,1,12月
4245,ダイキアクシス,standard,1,12月
4247,ポバール興業,standard,1,3月
4275,カーリット,prime,1,3月
4284,ソルクシーズ,standard,1,6月
4286,ＣＬホールディングス,standard,1,6月
428A,サイプレス・ホールディングス,standard,1,2月・8月
4290,プレステージ・インターナショナル,prime,1,3月・9月
4293,セプテーニ・ホールディングス,standard,1,12月
4299,ハイマックス,standard,1,3月
4301,アミューズ,prime,1,3月
4310,ドリームインキュベータ,prime,1,3月
4318,クイック,prime,1,3月
4323,日本システム技術,prime,1,3月・9月
4326,インテージホールディングス,prime,1,12月
4335,ＩＰＳホールディングス,standard,1,6月
4337,ぴあ,prime,1,3月
4343,イオンファンタジー,prime,1,2月・8月
4344,ソースネクスト,prime,1,12月
4351,山田再生系債権回収総合事務所,standard,1,6月・12月
4362,日本精化,prime,1,3月
4365,松本油脂製薬,standard,1,3月・9月
4366,ダイトーケミックス,standard,1,3月
4373,シンプレクス・ホールディングス,prime,1,9月
4382,ＨＥＲＯＺ,standard,1,4月・10月
4386,ＳＩＧグループ,standard,1,3月
4392,ＦＩＧ,prime,1,12月
4398,ブロードバンドセキュリティ,standard,1,6月・12月
4404,ミヨシ油脂,standard,1,12月
4409,東邦化学工業,standard,1,3月
4421,ディ・アイ・システム,standard,1,9月
4432,ウイングアーク１ｓｔ,prime,1,2月・8月
4433,ヒト・コミュニケーションズ・ホールディングス,prime,1,8月
4439,東名,standard,1,2月
4441,トビラシステムズ,standard,1,10月
4452,花王,prime,1,12月
4461,第一工業製薬,prime,1,3月
4462,石原ケミカル,prime,1,3月・9月
4463,日華化学,standard,1,12月
4465,ニイタカ,standard,1,5月・11月
4491,コンピューターマネージメント,standard,1,9月
4524,森下仁丹,standard,1,3月・9月
4526,理研ビタミン,prime,1,3月・9月
4527,ロート製薬,prime,1,3月
4538,扶桑薬品工業,prime,1,3月
4539,日本ケミファ,standard,1,3月・9月
4540,ツムラ,prime,1,9月
4543,テルモ,prime,1,3月・9月
4549,栄研化学,prime,1,3月
4559,ゼリア新薬工業,prime,1,3月・9月
4577,ダイト,prime,1,5月・11月
4578,大塚ホールディングス,prime,1,12月
4611,大日本塗料,prime,1,3月
4616,川上塗料,standard,1,11月
4624,イサム塗料,standard,1,3月
4625,アトミクス,standard,1,3月
4628,エスケー化研,standard,1,3月
4633,サカタインクス,prime,1,12月
4634,ａｒｔｉｅｎｃｅ,prime,1,6月
4635,東京インキ,standard,1,3月
4642,オリジナル設計,standard,1,6月
4645,市進ホールディングス,standard,1,2月
4650,ＳＤエンターテイメント,standard,1,3月
4658,日本空調サービス,prime,1,9月
4661,オリエンタルランド,prime,1,3月・9月
4665,ダスキン,prime,1,3月・9月
4666,パーク２４,prime,1,10月
4667,アイサンテクノロジー,standard,1,3月
4668,明光ネットワークジャパン,prime,1,8月
4676,フジ・メディア・ホールディングス,prime,1,3月・9月
4678,秀英予備校,standard,1,3月
4679,田谷,standard,1,3月
4680,ラウンドワン,prime,1,3月・6月・9月・12月
4681,リゾートトラスト,prime,1,3月
4691,ワシントンホテル,standard,1,3月
4694,ビー・エム・エル,prime,1,3月
4707,キタック,standard,1,10月
4712,ＫｅｙＨｏｌｄｅｒ,standard,1,6月
4718,早稲田アカデミー,prime,1,3月・9月
4719,アルファシステムズ,prime,1,9月
4720,城南進学研究社,standard,1,3月
4725,ＣＡＣ　Ｈｏｌｄｉｎｇｓ,prime,1,12月
4732,ユー・エス・エス,prime,1,3月・9月
4733,オービックビジネスコンサルタント,prime,1,3月
4746,東計電算,standard,1,12月
4751,サイバーエージェント,prime,1,9月
