k,thr,stop,signal,period,one_way_bps,burst_coef,is_current,n_entry_signal_bars,n_entry_signals_discarded,n_total_in_period,n_excluded_gap,n,mean_net_bps,ci_lo,ci_hi,se_cluster,sharpe,sharpe_ci_lo,sharpe_ci_hi,win_rate,max_dd_bps,mean_hold_min,stop_rate,mean_funding_bps,mean_gross_bps,sd_net_bps,n_days,deferred_minutes,trades_with_deferral,mean_cost_bps,sum_pnl_jpy_001btc,mde_bps
15,0.4,0.5,jpy,train,1.8991548037846104,1.4608883106035464,False,520661,7015,53010,390,52620,-3.198223049357674,-3.7257573093264367,-2.6545953866524075,0.2730984531101536,-5.5070168540082,-6.715522478169629,-4.385111847216377,0.3292664386164956,170366.50885150724,14.960661345496009,0.22035347776510833,0.058760927404028884,0.6588474856155758,64.56431576091173,1599,46,38,3.798309607569221,-412622.19671607955,0.788534988354693
15,0.4,0.5,jpy,val,1.8991548037846104,1.4608883106035464,False,520661,7015,8691,101,8590,-2.8705816627536076,-3.919354739474078,-1.8497937675444809,0.5348108403173818,-5.303153278020168,-7.6306360190135765,-3.2195547349487534,0.3377182770663562,25193.991675556696,16.140745052386496,0.15960419091967404,0.05890570430733411,0.9866336491229474,50.6074886739994,364,1,1,3.798309607569221,-99009.51394466762,1.5297555659780688
15,0.4,1.0,usd,full,1.8991548037846104,1.4608883106035464,False,515562,7045,55330,517,54813,-3.6021029401805325,-4.135077947493044,-3.0627750958057947,0.2700271595551336,-5.706148446597925,-6.723117348689443,-4.743409857623053,0.3424735008118512,197793.07468006312,17.12382099137066,0.07388758141316841,0.06684545636983927,0.2630521237585284,67.00960297192644,1962,46,38,3.798309607569221,-545329.2154727522,0.8018610086951661
15,0.4,1.0,usd,train,1.8991548037846104,1.4608883106035464,False,515562,7045,47419,415,47004,-3.6434239732860547,-4.199741774856346,-3.046390578852604,0.293285076192777,-5.724012640765391,-6.885158235403687,-4.6545858810466685,0.34154540039145603,171769.3278559425,17.0,0.07752531699429836,0.06710067228320994,0.2219863065663759,68.9275543756551,1599,46,38,3.798309607569221,-442686.67489775654,0.8906955819068552
15,0.4,1.0,usd,val,1.8991548037846104,1.4608883106035464,False,515562,7045,7911,102,7809,-3.353383022125467,-4.402518267691889,-2.304066528580759,0.5348045740642594,-6.162494346308302,-8.393400350266106,-4.168466141555076,0.34805993084902037,26598.16964218159,17.869125368164937,0.05199129209886029,0.06530925854782943,0.510235843991584,54.048949819718196,364,0,0,3.798309607569221,-102642.54057499574,1.7135366031826382
15,0.4,1.0,jpy,full,1.8991548037846104,1.4608883106035464,False,520661,7015,55760,516,55244,-3.41238856341037,-3.9117280817178237,-2.907368355267075,0.26109661599003836,-5.404913914263345,-6.419493624747905,-4.438303540768559,0.34382014336398525,189875.84134268152,17.16253348779958,0.07267757584534067,0.06643255376149446,0.45235359792034563,67.10430976799009,1962,46,38,3.798309607569221,-515622.4900323659,0.7998557895118633
15,0.4,1.0,jpy,train,1.8991548037846104,1.4608883106035464,False,520661,7015,47657,411,47246,-3.3852171433294065,-3.951910710056358,-2.761816318302274,0.3018713940989713,-5.305190669549025,-6.459816748779282,-4.227251360743652,0.3434364813952504,161236.13289403083,17.079922109808237,0.0758159420903357,0.06650298437963002,0.4795954486194446,69.16038124459364,1599,45,37,3.798309607569221,-406021.3332755882,0.8914124454776857
15,0.4,1.0,jpy,val,1.8991548037846104,1.4608883106035464,False,520661,7015,8103,105,7998,-3.5728963044887885,-4.634675581402676,-2.5163874633006875,0.53829057785616,-6.603623687165083,-8.818699525759081,-4.5073188792406,0.3460865216304076,29075.760982126616,17.650537634408604,0.05413853463365841,0.06601650412603151,0.2914298072064642,53.369673208892884,364,1,1,3.798309607569221,-109601.15675677767,1.6718899263607767
15,0.8,0.25,usd,full,2.5935204311832636,1.995015716294818,False,165030,2312,30342,169,30173,-4.570177448129484,-5.340134438323986,-3.7610735477384765,0.4038861997413717,-4.626688872492904,-5.564299193021755,-3.6862836630162503,0.25403506446160473,138320.25174429812,9.962350445762768,0.6981075796241673,0.04056606900208796,0.6574294832391318,69.42890942202732,1954,15,11,5.187040862366527,-352007.2494494634,1.1197857447345936
15,0.8,0.25,usd,train,2.5935204311832636,1.995015716294818,False,165030,2312,27022,134,26888,-4.385669398274376,-5.232809460481821,-3.504501659954302,0.4363763287007336,-4.5627735809315775,-5.671342202181985,-3.5444623711521204,0.2525290092234454,118232.04870343677,9.866669146087474,0.6999404939006248,0.040836060696221366,0.8422075247883729,71.08763533804962,1598,15,11,5.187040862366527,-273863.0513415344,1.214559109660752
