series,variable,state,n,mean,ci_lo,ci_hi,cost_mean,net_mean,net_ci_lo,net_ci_hi
2516T,直前リターン符号,2_非上昇,1056,5.938182209293107,-2.067975299811325,12.653060284745155,31.731451090717435,-25.793268881424325,-33.6602621485569,-18.77582255832934
2516T,直前リターン三分位,1_下位,694,6.145846029680962,-3.8393949756258174,14.891667823960704,31.8210443832582,-25.675198353577237,-36.32310137072837,-16.208108555953828
2516T,直前リターン三分位,2_中位,695,2.484883556892019,-5.458761249469766,10.474044205321164,31.662524290221363,-29.177640733329344,-37.22354268374923,-20.98623029351923
2516T,直前リターン三分位,3_上位,693,11.498288710462246,3.84669065772107,19.23666933897065,31.398022596352224,-19.89973388588998,-28.13778650161143,-11.313514364091601
2516T,SQまでの日数,1_0-2日,299,5.285294793562949,-9.924245381040379,19.49805674973511,31.68835187811327,-26.403057084550323,-41.01814730103883,-12.162030664028414
2516T,SQまでの日数,2_3-9日,461,5.85707245134463,-4.67405504520632,16.644246186524725,31.593318225025566,-25.73624577368095,-37.077264306508496,-13.884143717130376
2516T,SQまでの日数,3_10日以上,1324,7.313123626889351,1.450085653936367,13.244691027731841,31.61881582335414,-24.305692196464786,-30.025009904587908,-18.61054544186058
2516T,曜日,1_月,385,21.373310845712012,8.81217668683138,34.72799346939186,31.56205888372294,-10.188748038010921,-22.484978190781405,2.7842386825244714
2516T,曜日,2_火,426,4.991198013523862,-4.182890212276451,13.972172488637057,31.601646327350064,-26.610448313826204,-35.48426167874095,-17.04148076405966
2516T,曜日,3_水,429,9.095292758703817,-1.4321161320290403,20.062584455668667,31.562259197939547,-22.466966439235733,-33.30957918355258,-11.155957037675561
2516T,曜日,4_木,426,-5.854428087818194,-16.375338147208524,4.1714285447742085,31.717860215371367,-37.572288303189566,-48.612292000496275,-26.64109438138656
2516T,曜日,5_金,418,5.263444899313438,-9.440267841423152,19.485944820991904,31.667314378145466,-26.403869478832032,-42.36618304131446,-9.603614650664113
2516T,月,01,154,-1.773388390839063,-25.976559659811038,21.770443458640855,32.102214603587804,-33.87560299442687,-56.88636236878519,-12.937582835491211
2516T,月,02,165,2.413824735430845,-17.224813139950527,20.850785108137963,31.212592066378697,-28.798767330947847,-47.75028837770181,-10.564267915225983
2516T,月,03,188,7.9418262593090345,-14.334192729598906,31.866528849270896,32.23329105256998,-24.291464793260953,-46.80097728990402,-1.5341897455199491
2516T,月,04,184,9.574338958819547,-15.40128577375356,33.88347663126177,32.34611744918851,-22.771778490368963,-47.20232488990072,-0.31188653037479164
2516T,月,05,173,16.930676001493847,0.4678127375770522,33.18058346266747,32.01084242232708,-15.080166420833239,-31.72031574585353,0.597407203222608
2516T,月,06,192,8.028542486749538,-6.1187135622041575,21.907185404957808,31.205064285824307,-23.176521799074767,-38.53930088268254,-8.371493672989873
2516T,月,07,189,9.865480359938646,-0.9398365782063135,20.43719730004009,31.54066648608463,-21.67518612614598,-32.035901272626255,-11.079593251628125
2516T,月,08,190,0.44087751918695306,-16.74911496044603,18.785599684540422,31.505630581977655,-31.06475306279069,-48.8207875580633,-11.811682223204052
2516T,月,09,157,0.06113624698135825,-11.874903219215675,12.148807340970206,30.644935417936768,-30.583799170955412,-43.660972481584466,-17.878456404708043
2516T,月,10,167,1.2993189630399764,-14.467159764834124,16.127890835128582,31.37277641611849,-30.07345745307851,-45.949817059373395,-14.140204825609182
2516T,月,11,157,20.791031618757344,8.505393075312533,32.05047324917872,31.147563753325077,-10.356532134567733,-24.75164668304563,2.1558454476465463
2516T,月,12,168,4.008702421904788,-8.715936364409073,17.245719300369935,32.02444110242969,-28.0157386805249,-42.28847325746474,-12.216140795736692
2516T,泊数,1_1泊,1621,6.780955021620146,1.5690772124307133,12.279967004294091,31.601880548491856,-24.820925526871715,-29.963513763746967,-19.638062563338448
2516T,泊数,2_2-3泊,393,9.914688346110147,-6.584228163919197,25.843638603179308,31.397104286276836,-21.48241594016669,-38.978891681227076,-4.531863297490253
2516T,泊数,3_4泊以上,70,-13.220162638869242,-46.50414374997395,25.94074229257515,33.384838711449035,-46.605001350318275,-78.0012848872339,-10.472222873223284
2516T,制度区分,2018-01-30..2024-11-04,1639,6.713858121803469,0.7091760110238255,12.700853228887944,30.465354916863912,-23.751496795060444,-29.819235857232886,-17.73169143821931
2516T,制度区分,2024-11-05..2026-09-03,445,6.649383738675983,-0.2547917299204096,13.956497665501052,35.887488437468726,-29.238104698792743,-37.11990627068696,-21.147849611360808
1321T,実現ボラ三分位,1_低,1196,3.9210313355518718,-0.3791469207179674,8.417431426034474,4.652935982412657,-0.7319046468607866,-5.241699177542981,3.7647129871945397
1321T,実現ボラ三分位,2_中,1195,3.9531719216818617,-0.8053226507538273,8.452897000880828,4.67782282879389,-0.7246509071120277,-5.540985708989623,3.8114434879372445
1321T,実現ボラ三分位,3_高,1196,11.597756281121208,4.575293019748538,18.343380527070714,5.060696639042405,6.537059642078804,-0.3669077069373465,13.341475383683703
1321T,直前リターン符号,1_上昇,1890,5.051784402379269,1.1053356804373973,9.154181684686641,4.799018360313186,0.25276604206608366,-3.9343999937379754,4.152311740001481
1321T,直前リターン符号,2_非上昇,1752,7.933454470421589,3.498818211882181,12.199084453107654,4.75863880113515,3.1748156692864375,-1.5901194710028255,7.469934481457697
1321T,直前リターン三分位,1_下位,1214,7.178730926847438,0.22757308568083554,13.297071380059748,4.76507126864517,2.413659658202269,-3.7309697944447957,8.214632043356094
1321T,直前リターン三分位,2_中位,1214,2.0154618722044195,-2.49472313810788,6.397515094249771,4.751513210273145,-2.7360513380687244,-7.1216257525513615,1.5173727449658359
