財務省,,,,,,,,
Ministry of Finance,,,,,,,,
,,,,,,,,
外国為替平衡操作の実施状況,,,,,,,,
Foreign Exchange Intervention Operations,,,,,,,,
,,,,,,,,
(データ期間:平成3年4月～),,,,,,,,
(period:April 1991-),,,,,,,,
,,,,,,,,
(単位:億円),,,,,,,,
(amount:100 million Yen),,,,,,,,
,,,,,,,,
実施年月日,,,Intervention Date,,,,,
年,月,日,Year,Month,Day,金額(amount),売買通貨,Currency pairs
,,,,,,,,
,,22日,,,22,"5,991",米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
平成7年7～9月期計,,,July - September 1995,,,"25,584",,
平成7年10～12月期計,,,October - December 1995,,,0,,
平成8年,2月,20日,1996,Feb,20,"4,383",米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,21日,,,21,"1,102",米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,22日,,,22,945,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,23日,,,23,"2,310",米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,27日,,,27,"7,297",米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
平成8年1～3月期計,,,January - March 1996,,,"16,036",,
平成8年4～6月期計,,,April -June 1996,,,0,,
平成8年7～9月期計,,,July - September 1996,,,0,,
平成8年10～12月期計,,,October - December 1996,,,0,,
平成9年1～3月期計,,,January - March 1997,,,0,,
平成9年4～6月期計,,,April -June 1997,,,0,,
平成9年7～9月期計,,,July - September 1997,,,0,,
平成9年,11月,3日,1997,Nov,3,390,米ドル売り・インドネシアルピア買い,the US dollar (sold) the Indonesian rupiah (bought)
,,5日,,,5,110,米ドル売り・インドネシアルピア買い,the US dollar (sold) the Indonesian rupiah (bought)
,,6日,,,6,166,米ドル売り・インドネシアルピア買い,the US dollar (sold) the Indonesian rupiah (bought)
,,17日,,,17,23,米ドル売り・インドネシアルピア買い,the US dollar (sold) the Indonesian rupiah (bought)
,,18日,,,18,4,米ドル売り・インドネシアルピア買い,the US dollar (sold) the Indonesian rupiah (bought)
,12月,17日,,Dec,17,"2,804",米ドル売り・日本円買い,the US dollar (sold) the Japanese yen (bought)
,,18日,,,18,764,米ドル売り・日本円買い,the US dollar (sold) the Japanese yen (bought)
,,19日,,,19,"7,023",米ドル売り・日本円買い,the US dollar (sold) the Japanese yen (bought)
平成9年10～12月期計,,,October - December 1997,,,"11,282",,
平成10年1～3月期計,,,January - March 1998,,,0,,
平成10年,4月,9日,1998,Apr,9,"1,957",米ドル売り・日本円買い,the US dollar (sold) the Japanese yen (bought)
,,10日,,,10,"26,201",米ドル売り・日本円買い,the US dollar (sold) the Japanese yen (bought)
,6月,17日,,Jun,17,"2,312",米ドル売り・日本円買い,the US dollar (sold) the Japanese yen (bought)
平成10年4～6月期計,,,April -June 1998,,,"30,470",,
平成10年7～9月期計,,,July - September 1998,,,0,,
平成10年10～12月期計,,,October - December 1998,,,0,,
平成11年,1月,12日,1999,Jan,12,"6,563",米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
平成11年1～3月期計,,,January - March 1999,,,"6,563",,
平成11年,6月,10日,1999,Jun,10,"1,665",米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,14日,,,14,"14,059",米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,18日,,,18,"4,379",ユーロ買い・日本円売り,the Euro (bought) the Japanese yen (sold)
,,21日,,,21,"9,272",米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,21日,,,21,"1,017",ユーロ買い・日本円売り,the Euro (bought) the Japanese yen (sold)
平成11年4～6月期計,,,April -June 1999,,,"30,392",,
平成11年,7月,5日,1999,Jul,5,"7,837",米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,20日,,,20,"1,792",米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,21日,,,21,"4,052",米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,9月,10日,,Sep,10,"6,401",米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
