属性,群,h,n(清算),n(対照),平均bp(清算),平均bp(対照。距離でそろえた),差(距離でそろえた),SE(差),帯の最小n(清算),帯の最小n(対照)
time_of_day(UTC 時、6 時間の 4 帯),UTC 06–12,1,4076,4586,-5.797964,-0.188407,-5.609557,0.197437,407,157
time_of_day(UTC 時、6 時間の 4 帯),UTC 06–12,5,4076,4586,-5.676607,-0.417071,-5.259536,0.411464,407,157
time_of_day(UTC 時、6 時間の 4 帯),UTC 06–12,15,4076,4586,-5.414531,-0.324778,-5.089753,0.746762,407,157
time_of_day(UTC 時、6 時間の 4 帯),UTC 06–12,30,4076,4586,-5.289736,0.573881,-5.863617,1.125375,407,157
time_of_day(UTC 時、6 時間の 4 帯),UTC 06–12,60,4076,4586,-5.648535,2.212208,-7.860744,1.438303,407,157
time_of_day(UTC 時、6 時間の 4 帯),UTC 06–12,240,4076,4586,-6.729616,13.111307,-19.840923,2.730144,407,157
time_of_day(UTC 時、6 時間の 4 帯),UTC 12–18,1,7915,4884,-7.540801,-0.608502,-6.932299,0.191271,791,195
time_of_day(UTC 時、6 時間の 4 帯),UTC 12–18,5,7915,4884,-8.289735,-1.139011,-7.150723,0.403060,791,195
time_of_day(UTC 時、6 時間の 4 帯),UTC 12–18,15,7915,4884,-8.888523,-1.176021,-7.712502,0.760327,791,195
time_of_day(UTC 時、6 時間の 4 帯),UTC 12–18,30,7915,4884,-7.680992,-0.187401,-7.493591,1.110303,791,195
time_of_day(UTC 時、6 時間の 4 帯),UTC 12–18,60,7915,4884,-7.984768,4.427359,-12.412127,1.508999,791,195
time_of_day(UTC 時、6 時間の 4 帯),UTC 12–18,240,7915,4884,-5.573199,14.533148,-20.106346,2.859129,791,195
time_of_day(UTC 時、6 時間の 4 帯),UTC 18–24,1,5313,4366,-7.058028,-0.172585,-6.885444,0.215231,531,151
time_of_day(UTC 時、6 時間の 4 帯),UTC 18–24,5,5313,4366,-7.154873,-0.863644,-6.291229,0.513490,531,151
time_of_day(UTC 時、6 時間の 4 帯),UTC 18–24,15,5313,4366,-7.854636,0.640704,-8.495340,0.893698,531,151
time_of_day(UTC 時、6 時間の 4 帯),UTC 18–24,30,5313,4365,-8.408177,1.862297,-10.270474,1.236688,531,151
time_of_day(UTC 時、6 時間の 4 帯),UTC 18–24,60,5311,4365,-9.156695,4.367347,-13.524043,1.729870,529,151
time_of_day(UTC 時、6 時間の 4 帯),UTC 18–24,240,5310,4361,-10.638444,7.027530,-17.665974,2.844001,529,151
