cascade_id,exchange,kind,start_ms,start_utc,end_ms,end_utc,n_events,total_size,direction,first_price,last_price,anchor_ts_ms,anchor_price,bp_1m,bp_5m,bp_15m,bp_60m,group,internal_bp
binance_cm_no_liq_002537,binance_cm,no_liquidation,1723709441935,2024-08-15T08:10:41.935Z,1723709463934,2024-08-15T08:11:03.934Z,0,0.0,none,,,1723709460000,57986.3,8.795180930668106,15.64162569434454,37.14670534246782,63.54949358727837,noliq_long,6.488497584933885
binance_cm_no_liq_002538,binance_cm,no_liquidation,1723737357939,2024-08-15T15:55:57.939Z,1723737364987,2024-08-15T15:56:04.987Z,0,0.0,none,,,1723737360000,59707.9,0.3182158474844125,-3.5506189298240876,-18.27228892659071,-32.49151284838355,noliq_long,0.6364722020770618
binance_cm_no_liq_002539,binance_cm,no_liquidation,1720544279387,2024-07-09T16:57:59.387Z,1720544323419,2024-07-09T16:58:43.419Z,0,0.0,none,,,1720544280000,57627.3,5.414100608565226,1.4055838118389279,-11.227317608148285,-22.350517896900065,noliq_long,-2.0298756050585696
binance_cm_no_liq_002540,binance_cm,no_liquidation,1720106769353,2024-07-04T15:26:09.353Z,1720106769354,2024-07-04T15:26:09.354Z,0,0.0,none,,,1720106760000,57402.6,4.895248647273563,9.56402671656013,18.84932041405866,88.32352541522509,noliq_long,0.0
binance_cm_no_liq_002541,binance_cm,no_liquidation,1718833535743,2024-06-19T21:45:35.743Z,1718833578818,2024-06-19T21:46:18.818Z,0,0.0,none,,,1718833560000,64971.1,-0.6618327225482767,0.9080960611720372,-1.554537325056609,-10.943327110053323,noliq_long,-4.123210134481716
binance_cm_no_liq_002542,binance_cm,no_liquidation,1722901598331,2024-08-05T23:46:38.331Z,1722901618361,2024-08-05T23:46:58.361Z,0,0.0,none,,,1722901560000,54258.7,0.46075560232736873,-31.05492759686465,-28.382545103365914,257.8572652864897,noliq_long,0.0
binance_cm_no_liq_002543,binance_cm,no_liquidation,1719209903003,2024-06-24T06:18:23.003Z,1719209906934,2024-06-24T06:18:26.934Z,0,0.0,none,,,1719209880000,62260.0,1.44555091551558,-0.8352071956307564,4.272406039190258,-15.868936716993721,noliq_long,0.0
binance_cm_no_liq_002544,binance_cm,no_liquidation,1720986919870,2024-07-14T19:55:19.870Z,1720986919871,2024-07-14T19:55:19.871Z,0,0.0,none,,,1720986900000,59902.4,-0.16693821950372606,-0.6176714121645152,-3.0716632388688025,42.419001575896544,noliq_long,0.0
binance_cm_no_liq_002545,binance_cm,no_liquidation,1723453375841,2024-08-12T09:02:55.841Z,1723453375842,2024-08-12T09:02:55.842Z,0,0.0,none,,,1723453320000,58347.4,-2.622224812074387,13.968060273465484,14.739302865251922,-22.50314495590256,noliq_long,0.0
binance_cm_no_liq_002546,binance_cm,no_liquidation,1725772521254,2024-09-08T05:15:21.254Z,1725772521255,2024-09-08T05:15:21.255Z,0,0.0,none,,,1725772500000,54455.1,0.0,-2.1301953352392236,-0.9365513973895089,-14.52572853598626,noliq_long,0.0
