t_send,t_recv,rtt_ms,endpoint,http_status,ws_lag_ms,ws_note
1789418423.312479,1789418423.3484287,35.94970703125,public:getticker,200,8397.25399017334,ok
1789418423.3484452,1789418423.4141784,65.73319435119629,private:getpermissions,200,8397.25399017334,ok
1789418453.312189,1789418453.3499346,37.74547576904297,public:getticker,200,38389.25313949585,unchanged
1789418453.3499508,1789418453.40618,56.2291145324707,private:getpermissions,200,38389.25313949585,unchanged
1789418483.314938,1789418483.3587186,43.78056526184082,public:getticker,200,8558.418035507202,ok
1789418483.358735,1789418483.4101813,51.44619941711426,private:getpermissions,200,8558.418035507202,ok
1789418513.3155496,1789418513.3300512,14.501571655273438,public:getticker,200,38530.31826019287,unchanged
1789418513.330068,1789418513.3820817,52.01363563537598,private:getpermissions,200,38530.31826019287,unchanged
1789418543.3162675,1789418543.3515177,35.250186920166016,public:getticker,200,8270.00617980957,ok
1789418543.3515344,1789418543.401512,49.97754096984863,private:getpermissions,200,8270.00617980957,ok
1789418573.316747,1789418573.349552,32.80496597290039,public:getticker,200,38262.65788078308,unchanged
1789418573.349569,1789418573.3941643,44.59524154663086,private:getpermissions,200,38262.65788078308,unchanged
1789418603.3195922,1789418603.3735468,53.9546012878418,public:getticker,200,8532.370805740356,ok
1789418603.373568,1789418603.4428544,69.28634643554688,private:getpermissions,200,8532.370805740356,ok
1789418633.3198082,1789418633.3356419,15.833616256713867,public:getticker,200,38469.77782249451,unchanged
1789418633.3356578,1789418633.3802605,44.60263252258301,private:getpermissions,200,38469.77782249451,unchanged
1789418663.3200552,1789418663.3526306,32.575368881225586,public:getticker,200,8440.561294555664,ok
1789418663.352647,1789418663.438807,86.15994453430176,private:getpermissions,200,8440.561294555664,ok
1789418693.320347,1789418693.335439,15.091896057128906,public:getticker,200,38391.02244377136,unchanged
1789418693.335455,1789418693.3892684,53.81345748901367,private:getpermissions,200,38391.02244377136,unchanged
1789418723.3206487,1789418723.3678763,47.22762107849121,public:getticker,200,6261.4405155181885,ok
1789418723.3678927,1789418723.4210494,53.15661430358887,private:getpermissions,200,6261.4405155181885,ok
1789418753.320941,1789418753.352781,31.840085983276367,public:getticker,200,36235.25404930115,unchanged
1789418753.3527982,1789418753.3948627,42.06442832946777,private:getpermissions,200,36235.25404930115,unchanged
1789418783.3212328,1789418783.3649175,43.68472099304199,public:getticker,200,6310.360908508301,ok
1789418783.3649344,1789418783.4053092,40.374755859375,private:getpermissions,200,6310.360908508301,ok
1789418813.322011,1789418813.36024,38.22898864746094,public:getticker,200,36312.67023086548,unchanged
1789418813.3602552,1789418813.407613,47.357797622680664,private:getpermissions,200,36312.67023086548,unchanged
1789418843.3222942,1789418843.3454666,23.172378540039062,public:getticker,200,6400.88415145874,ok
1789418843.3454819,1789418843.389351,43.8690185546875,private:getpermissions,200,6400.88415145874,ok
1789418873.323554,1789418873.3606687,37.114620208740234,public:getticker,200,36424.01933670044,unchanged
1789418873.3606865,1789418873.4124846,51.798105239868164,private:getpermissions,200,36424.01933670044,unchanged
1789418903.323758,1789418903.3391724,15.41447639465332,public:getticker,200,6111.695051193237,ok
1789418903.3391898,1789418903.406046,66.85614585876465,private:getpermissions,200,6111.695051193237,ok
1789418933.324955,1789418933.3624694,37.514448165893555,public:getticker,200,36128.737926483154,unchanged
1789418933.3624868,1789418933.4230878,60.600996017456055,private:getpermissions,200,36128.737926483154,unchanged
1789418963.3252373,1789418963.3613353,36.09800338745117,public:getticker,200,5872.79200553894,ok
1789418963.361353,1789418963.4033892,42.03629493713379,private:getpermissions,200,5872.79200553894,ok
1789418993.3264928,1789418993.343799,17.30632781982422,public:getticker,200,35851.19080543518,unchanged
1789418993.3438163,1789418993.3817887,37.972450256347656,private:getpermissions,200,35851.19080543518,unchanged
1789419023.3267725,1789419023.3652585,38.48600387573242,public:getticker,200,6021.317958831787,ok
1789419023.3652754,1789419023.4049187,39.643287658691406,private:getpermissions,200,6021.317958831787,ok
1789419053.3270338,1789419053.3634214,36.38768196105957,public:getticker,200,36015.920877456665,unchanged
1789419053.3634374,1789419053.3995218,36.08441352844238,private:getpermissions,200,36015.920877456665,unchanged
1789419083.3282635,1789419083.3783379,50.07433891296387,public:getticker,200,5575.516223907471,ok
1789419083.378354,1789419083.4192579,40.90380668640137,private:getpermissions,200,5575.516223907471,ok
1789419113.3294325,1789419113.3448036,15.371084213256836,public:getticker,200,35534.0850353241,unchanged
1789419113.34482,1789419113.3778265,33.00642967224121,private:getpermissions,200,35534.0850353241,unchanged
1789419143.3298812,1789419143.3648977,35.016536712646484,public:getticker,200,5719.491243362427,ok
1789419143.3649175,1789419143.4169455,52.02794075012207,private:getpermissions,200,5719.491243362427,ok
1789419173.3305671,1789419173.369045,38.47789764404297,public:getticker,200,35748.0685710907,unchanged
1789419173.369063,1789419173.4455228,76.45988464355469,private:getpermissions,200,35748.0685710907,unchanged
1789419203.331209,1789419203.3722234,41.01443290710449,public:getticker,200,5603.584766387939,ok
1789419203.3722405,1789419203.4381454,65.90485572814941,private:getpermissions,200,5603.584766387939,ok
1789419233.331836,1789419233.3474543,15.618324279785156,public:getticker,200,35644.54889297485,unchanged
1789419233.347471,1789419233.479108,131.6370964050293,private:getpermissions,200,35644.54889297485,unchanged
1789419263.3321357,1789419263.365656,33.52022171020508,public:getticker,200,4622.526168823242,ok
1789419263.3656733,1789419263.4185388,52.86550521850586,private:getpermissions,200,4622.526168823242,ok
1789419293.333237,1789419293.3664181,33.181190490722656,public:getticker,200,34613.247871398926,unchanged
