date,date_t1,open_t,close_t,open_t1,close_t1,r,r_night_bps,r_day_bps,nights,cost_bps_cons,cost_bps_opt,r_net_bps_cons,r_net_bps_opt,pnl_yen_cons,roll_monthly,roll_quarterly,nightless_marked,is_glitch,night_open,night_close,has_night,leg_b_bps,leg_a_bps,leg_c_bps,regime,weekday,month,year,vol20,vol_tercile,sq_dist_td
2023-07-07,2023-07-10,32340.0,32430.0,32370.0,32140.0,-0.0018501387604070718,-18.501387604070718,27.829313543599188,3,3.7619488128276286,0.6783842121492445,-22.263336416898348,-19.17977181621996,-722.0,False,False,False,False,32290.0,32380.0,True,27.872406317746012,-43.169904409496866,-3.0883261272385276,2020-12-21..2024-11-04(引け 15:15),Friday,7,2023,0.011022971151807236,mid,5
2023-07-10,2023-07-11,32370.0,32140.0,32360.0,32240.0,0.0068450528935906085,68.45052893590608,-71.05344454742091,1,3.7958929682638454,0.6845052893590541,64.65463596764224,67.76602364654703,2078.0,False,False,False,False,32100.0,32310.0,True,65.42056074766434,-12.445550715619591,15.475085112968134,2020-12-21..2024-11-04(引け 15:15),Monday,7,2023,0.010726916440592272,mid,4
2023-07-11,2023-07-12,32360.0,32240.0,32360.0,31940.0,0.003722084367245637,37.22084367245637,-37.08281829419069,1,3.7841191066997517,0.6823821339950372,33.43672456575662,36.538461538461334,1078.0,False,False,False,False,32200.0,32320.0,True,37.267080745342355,-12.40694789081842,12.376237623761277,2020-12-21..2024-11-04(引け 15:15),Tuesday,7,2023,0.010809504496956042,mid,3
2023-07-12,2023-07-13,32360.0,31940.0,32170.0,32540.0,0.00720100187852224,72.0100187852224,-129.78986402966575,1,3.819661865998748,0.6887914840325611,68.19035691922365,71.32122730118984,2178.0,True,False,False,False,31940.0,32030.0,True,28.177833437694755,0.0,43.70902279113409,2020-12-21..2024-11-04(引け 15:15),Wednesday,7,2023,0.009871564491398203,low,2
2023-07-13,2023-07-14,32170.0,32540.0,32800.0,32340.0,0.007990165949600447,79.90165949600447,115.01398818775321,1,3.7492317148125385,0.6760909649661955,76.15242778119193,79.22556853103828,2478.0,True,False,False,False,32530.0,32750.0,True,67.62988011066673,-3.073140749846326,15.267175572519776,2020-12-21..2024-11-04(引け 15:15),Thursday,7,2023,0.009178317818657931,low,1
2023-07-14,2023-07-17,32800.0,32340.0,32250.0,32200.0,-0.002782931354359919,-27.829313543599188,-140.2439024390245,3,3.772418058132344,0.6802721088435374,-31.601731601731533,-28.509585652442727,-1022.0,True,False,False,False,32350.0,32320.0,True,-9.273570324574987,3.092145949288305,-21.658415841584457,2020-12-21..2024-11-04(引け 15:15),Friday,7,2023,0.010312572041058588,low,0
2023-07-17,2023-07-18,32250.0,32200.0,32390.0,32380.0,0.0059006211180123724,59.00621118012373,-15.503875968991832,1,3.7888198757763973,0.6832298136645962,55.21739130434733,58.32298136645913,1778.0,False,False,False,False,32250.0,32340.0,True,27.906976744185297,15.527950310558758,15.460729746443747,2020-12-21..2024-11-04(引け 15:15),Monday,7,2023,0.010167339469669365,low,1
2023-07-18,2023-07-19,32390.0,32380.0,32840.0,32980.0,0.01420630018529967,142.0630018529967,-3.087372645877995,1,3.7677578752316245,0.679431747992588,138.29524397776507,141.3835701050041,4478.0,False,False,False,False,32360.0,32730.0,True,114.33868974042083,-6.1766522544781655,33.60831041857581,2020-12-21..2024-11-04(引け 15:15),Tuesday,7,2023,0.010111080177756365,low,2
2023-07-19,2023-07-20,32840.0,32980.0,32790.0,32410.0,-0.005761067313523327,-57.61067313523327,42.630937880634434,1,3.6992116434202544,0.667070952092177,-61.309884778653526,-58.277744087325445,-2022.0,False,False,False,False,33040.0,32860.0,True,-54.47941888619856,18.1928441479684,-21.30249543517926,2020-12-21..2024-11-04(引け 15:15),Wednesday,7,2023,0.010244201619350737,low,3
2023-07-20,2023-07-21,32790.0,32410.0,32270.0,32270.0,-0.004319654427645814,-43.19654427645814,-115.88899054589818,1,3.7642702869484728,0.6788028386300524,-46.960814563406615,-43.875347115088196,-1522.0,False,False,False,False,32360.0,32310.0,True,-15.451174289246028,-15.42733724159251,-12.380068090374063,2020-12-21..2024-11-04(引け 15:15),Thursday,7,2023,0.01103996164189945,mid,4
