属性,群,下限,上限,m の群,T(秒),h(秒),群のプリント数,属性が欠測で群に入らないプリントの割合,m 平均,m 中央値,n,含む日数,r 平均(bp),r 日クラスタ SE,r naive SE,日クラスタ/naive,r 日等重み平均,r 中央値,r p25,r p75,r < 0 の割合,r < 0 の母数,同じ側の次の清算 60 秒以内の割合,同じ側の次の清算 60 秒以内の母数,同じ側の次の清算 120 秒以内の割合,同じ側の次の清算 120 秒以内の母数,同じ側の次の清算が無い(この期間の最後)
time_of_day(UTC 時、6 時間の 4 帯),UTC 06–12,,,Q3(上位 3 分位),60,300,2236,0.000000,46.843085,37.515014,2236,188,-7.014496,2.493978,0.995316,2.505714,-9.852590,-7.184525,-31.610722,16.294023,0.599732,2236,0.733900,2236,0.780859,2236,0
time_of_day(UTC 時、6 時間の 4 帯),UTC 06–12,,,Q3(上位 3 分位),60,900,2236,0.000000,46.843085,37.515014,2236,188,-3.906153,6.180810,1.906971,3.241166,-13.706380,-11.979677,-44.384222,25.095117,0.580948,2236,0.733900,2236,0.780859,2236,0
time_of_day(UTC 時、6 時間の 4 帯),UTC 12–18,,,Q1(下位 3 分位),60,60,5957,0.000000,7.367775,8.383571,5957,441,-0.094938,0.222733,0.179028,1.244121,-0.489501,-0.634948,-6.462337,4.964528,0.534497,5957,0.458620,5957,0.549606,5957,0
time_of_day(UTC 時、6 時間の 4 帯),UTC 12–18,,,Q1(下位 3 分位),60,300,5957,0.000000,7.367775,8.383571,5957,441,-1.882681,0.462926,0.331394,1.396908,-2.816759,-2.542473,-14.020127,9.051409,0.562699,5957,0.458620,5957,0.549606,5957,0
time_of_day(UTC 時、6 時間の 4 帯),UTC 12–18,,,Q1(下位 3 分位),60,900,5957,0.000000,7.367775,8.383571,5957,441,-2.967318,0.882245,0.529818,1.665184,-5.363649,-4.323459,-22.901132,15.935803,0.557495,5957,0.458620,5957,0.549606,5957,0
time_of_day(UTC 時、6 時間の 4 帯),UTC 12–18,,,Q2(中位 3 分位),60,60,7247,0.000000,18.785827,18.510194,7247,413,-0.911005,0.270723,0.192575,1.405804,-1.449929,-1.456539,-9.399241,6.531969,0.547261,7247,0.593211,7247,0.662067,7247,0
time_of_day(UTC 時、6 時間の 4 帯),UTC 12–18,,,Q2(中位 3 分位),60,300,7247,0.000000,18.785827,18.510194,7247,413,-2.625967,0.610712,0.354251,1.723952,-4.481958,-4.042929,-19.354222,12.734288,0.571409,7247,0.593211,7247,0.662067,7247,0
time_of_day(UTC 時、6 時間の 4 帯),UTC 12–18,,,Q2(中位 3 分位),60,900,7247,0.000000,18.785827,18.510194,7247,413,-2.550050,1.138164,0.559911,2.032760,-6.585003,-5.409282,-29.807602,20.699878,0.563544,7247,0.593211,7247,0.662067,7247,0
time_of_day(UTC 時、6 時間の 4 帯),UTC 12–18,,,Q3(上位 3 分位),60,60,7293,0.000000,50.225720,38.760952,7293,349,-2.888169,1.414636,0.480914,2.941556,-6.387244,-4.450963,-19.342873,9.952828,0.588098,7293,0.733306,7293,0.781708,7293,0
time_of_day(UTC 時、6 時間の 4 帯),UTC 12–18,,,Q3(上位 3 分位),60,300,7293,0.000000,50.225720,38.760952,7293,349,-8.059373,2.175356,0.797829,2.726595,-10.765495,-9.935903,-35.524009,17.193487,0.604827,7293,0.733306,7293,0.781708,7293,0
time_of_day(UTC 時、6 時間の 4 帯),UTC 12–18,,,Q3(上位 3 分位),60,900,7293,0.000000,50.225720,38.760952,7293,349,-13.392163,2.886613,1.074265,2.687057,-14.868840,-13.391291,-50.211283,26.595261,0.593994,7293,0.733306,7293,0.781708,7293,0
time_of_day(UTC 時、6 時間の 4 帯),UTC 18–24,,,Q1(下位 3 分位),60,60,4149,0.000000,6.450816,8.031296,4149,435,0.202670,0.307085,0.268209,1.144947,-0.037737,-0.395636,-5.384726,4.699392,0.518197,4149,0.433116,4149,0.521089,4149,0
time_of_day(UTC 時、6 時間の 4 帯),UTC 18–24,,,Q1(下位 3 分位),60,300,4149,0.000000,6.450816,8.031296,4149,435,-0.489706,1.172566,0.552261,2.123208,-1.405596,-1.625442,-12.274769,9.900825,0.539407,4149,0.433116,4149,0.521089,4149,0
time_of_day(UTC 時、6 時間の 4 帯),UTC 18–24,,,Q1(下位 3 分位),60,900,4149,0.000000,6.450816,8.031296,4149,435,-0.232371,2.072153,0.865883,2.393110,-3.264109,-3.419499,-19.820359,14.956138,0.558689,4149,0.433116,4149,0.521089,4149,0
time_of_day(UTC 時、6 時間の 4 帯),UTC 18–24,,,Q2(中位 3 分位),60,60,4247,0.000000,18.765145,18.473109,4247,401,0.476352,0.375537,0.266371,1.409826,-1.131425,-1.133262,-8.730615,7.144291,0.541559,4247,0.572875,4247,0.648222,4247,0
time_of_day(UTC 時、6 時間の 4 帯),UTC 18–24,,,Q2(中位 3 分位),60,300,4247,0.000000,18.765145,18.473109,4247,401,-0.575829,1.100960,0.614730,1.790966,-4.290003,-3.846077,-18.029668,13.230071,0.567930,4247,0.572875,4247,0.648222,4247,0
