effective_date,ticker,name,action
2014-03-27,1334,マルハニチロホールディングス,delete
2014-04-02,1333,マルハニチロ,add
2015-10-01,1808,長谷工コーポレーション,add
2015-10-01,2432,ディー・エヌ・エー,add
2015-10-01,3110,日東紡,delete
2015-10-01,8803,平和不動産,delete
2016-04-04,7186,コンコルディア・フィナンシャルグループ,add
2016-04-04,8332,横浜銀行,delete
2016-08-01,7272,ヤマハ発動機,add
2016-08-01,6753,シャープ,delete
2016-08-29,8028,ファミリーマート,add
2016-08-29,8270,ユニーグループ・ホールディングス,delete
2016-10-03,4755,楽天,add
2016-10-03,4041,日本曹達,delete
2017-01-24,4578,大塚ホールディングス,add
2017-01-24,6767,ミツミ電機,delete
2017-08-01,6724,セイコーエプソン,add
2017-08-01,6502,東芝,delete
2017-10-02,6098,リクルートホールディングス,add
2017-10-02,6178,日本郵政,add
2017-10-02,3865,北越紀州製紙,delete
2017-10-02,6508,明電舎,delete
2018-10-01,4751,サイバーエージェント,add
2018-10-01,5715,古河機械金属,delete
2018-12-26,4631,DIC,add
2018-12-26,5413,日新製鋼,delete
2019-03-18,6645,オムロン,add
2019-03-18,6773,パイオニア,delete
2019-03-27,5019,出光興産,add
2019-03-27,5002,昭和シェル石油,delete
2019-08-01,7832,バンダイナムコホールディングス,add
2019-08-01,6366,千代田化工建設,delete
2019-10-01,2413,エムスリー,add
2019-10-01,9681,東京ドーム,delete
2020-07-29,8697,日本取引所グループ,add
2020-07-29,8729,ソニーフィナンシャルホールディングス,delete
2020-10-01,9434,ソフトバンク,add
2020-10-01,4272,日本化薬,delete
2020-10-29,3659,ネクソン,add
2020-10-29,8028,ファミリーマート,delete
2020-12-02,6753,シャープ,add
2020-12-02,9437,NTTドコモ,delete
2021-10-01,6861,キーエンス,add
2021-10-01,6981,村田製作所,add
2021-10-01,7974,任天堂,add
2021-10-01,3105,日清紡ホールディングス,delete
2021-10-01,5901,東洋製罐グループホールディングス,delete
2021-10-01,9412,スカパーJSATホールディングス,delete
2021-12-29,9062,日本通運,delete
2022-01-05,9147,NIPPON EXPRESSホールディングス,add
2022-04-04,8591,オリックス,add
2022-04-04,8303,新生銀行,delete
2022-09-29,6594,日本電産,add
2022-09-29,8355,静岡銀行,delete
2022-10-03,6273,SMC,add
2022-10-03,7741,HOYA,add
2022-10-03,3103,ユニチカ,delete
2022-10-03,6703,OKI,delete
2022-10-04,5831,しずおかフィナンシャルグループ,add
2022-10-04,1333,マルハニチロ,delete
2023-04-03,4661,オリエンタルランド,add
2023-04-03,6723,ルネサスエレクトロニクス,add
2023-04-03,9201,日本航空,add
2023-04-03,3101,東洋紡,delete
2023-04-03,5703,日本軽金属ホールディングス,delete
2023-04-03,5707,東邦亜鉛,delete
2023-10-02,4385,メルカリ,add
2023-10-02,6920,レーザーテック,add
2023-10-02,9843,ニトリホールディングス,add
2023-10-02,5202,日本板硝子,delete
2023-10-02,7003,三井E&S,delete
2023-10-02,8628,松井証券,delete
2024-04-01,3092,ZOZO,add
2024-04-01,6146,ディスコ,add
2024-04-01,6526,ソシオネクスト,add
2024-04-01,2531,宝ホールディングス,delete
2024-04-01,5232,住友大阪セメント,delete
2024-04-01,5541,大平洋金属,delete
2024-10-01,4307,野村総合研究所,add
2024-10-01,7453,良品計画,add
2024-10-01,3863,日本製紙,delete
2024-10-01,4631,DIC,delete
2025-04-01,6532,ベイカレント,add
2025-04-01,9301,三菱倉庫,delete
2025-07-04,6963,ローム,add
2025-07-04,9613,NTTデータグループ,delete
2025-10-01,3697,SHIFT,add
2025-10-01,7762,シチズン時計,delete
2025-11-05,4062,イビデン,add
2025-11-05,6594,ニデック,delete
2026-04-01,285A,キオクシアホールディングス,add
2026-04-01,543A,ARCHION,add
2026-04-01,7532,パン・パシフィック・インターナショナルホールディングス,add
2026-04-01,6674,ジーエス・ユアサ コーポレーション,delete
2026-04-01,6952,カシオ計算機,delete
2026-04-01,7205,日野自動車,delete
