入る位置,入る条件,出口,損切り,総収支_bp,中央値_入った本のみ,p25,p75,中央値_0含む,負の割合,日等重み平均,日クラスタSE,入った本数,日数,建玉の回数,前半の前_総収支_bp,前半の後_総収支_bp,合計保有時間_時間,保有1時間あたりの収支_bp/h,同時建玉の最大_本,平均保有秒,欠測,条件で外れた本数,空の理由
2件目以降だけ,材料12≥p90,連鎖の終わり+d,含み損20bp,-1412.665755,-0.670508,-9.238169,6.550663,0.000000,0.531792,-1.940631,0.597472,692,191,692,-621.637643,-791.028112,12.310187,-114.755833,1,64.041435,0,3206,
2件目以降だけ,材料12≥p90,連鎖の終わり+d,含み損50bp,-1048.182916,0.309075,-6.602964,7.796187,0.000000,0.489884,-1.442959,0.648346,692,191,692,-581.796595,-466.386320,14.576046,-71.911336,1,75.829139,0,3206,
2件目以降だけ,材料12≥p90,最後のプリント+300秒+d,なし,604.614821,2.675326,-10.815029,15.374665,0.000000,0.449422,2.140281,1.013725,692,191,692,-419.722235,1024.337056,61.914419,9.765331,3,322.098132,0,3206,
2件目以降だけ,材料12≥p90,最後のプリント+300秒+d,含み損20bp,-1444.128395,-3.279693,-21.652601,11.829790,0.000000,0.556358,-0.932310,1.005262,692,191,692,-704.464059,-739.664335,44.624164,-32.362027,2,232.148831,0,3206,
2件目以降だけ,材料12≥p90,最後のプリント+300秒+d,含み損50bp,-768.796208,1.568360,-14.172826,14.262347,0.000000,0.468208,-0.079767,1.122608,692,191,692,-737.036693,-31.759515,56.387682,-13.634116,3,293.346324,0,3206,
2件目以降だけ,材料12≥p90,入ってから300秒+d,なし,480.409304,1.956361,-11.127362,15.074186,0.000000,0.463873,1.810384,1.002352,692,191,692,-426.239434,906.648738,57.817344,8.309086,3,300.783873,0,3206,
2件目以降だけ,材料12≥p90,入ってから300秒+d,含み損20bp,-1457.347506,-3.381808,-21.467593,11.721502,0.000000,0.562139,-1.042286,0.989403,692,191,692,-734.004557,-723.342949,43.328886,-33.634548,2,225.410392,0,3206,
2件目以降だけ,材料12≥p90,入ってから300秒+d,含み損50bp,-949.197657,0.781220,-14.064128,14.065794,0.000000,0.484104,-0.326351,1.115195,692,191,692,-785.397642,-163.800016,53.536999,-17.729751,3,278.516182,0,3206,
2件目以降だけ,材料14≥p75,連鎖の終わり+d,なし,176.694992,3.628776,-9.837896,16.675158,0.000000,0.420650,1.452916,1.517926,523,146,523,-325.980772,502.675764,12.453442,14.188447,1,85.721587,0,3375,
2件目以降だけ,材料14≥p75,連鎖の終わり+d,含み損20bp,-1457.508716,-1.373479,-20.731282,11.772895,0.000000,0.529637,-1.053236,1.092641,523,146,523,-811.521585,-645.987132,7.447903,-195.693828,1,51.266639,0,3375,
2件目以降だけ,材料14≥p75,連鎖の終わり+d,含み損50bp,-1368.744764,2.724081,-14.287906,15.923423,0.000000,0.443595,-0.173192,1.322074,523,146,523,-475.823451,-892.921313,10.482435,-130.575081,1,72.154426,0,3375,
2件目以降だけ,材料14≥p75,最後のプリント+300秒+d,なし,1730.516385,7.858650,-16.087014,27.280105,0.000000,0.393881,7.442093,2.624313,523,146,523,-508.796733,2239.313118,47.368876,36.532773,3,326.057272,0,3375,
2件目以降だけ,材料14≥p75,最後のプリント+300秒+d,含み損20bp,-1228.557540,-15.374096,-23.422599,17.362172,0.000000,0.609943,1.389543,1.563665,523,146,523,-747.093235,-481.464306,25.029215,-49.084941,2,172.285226,0,3375,
2件目以降だけ,材料14≥p75,最後のプリント+300秒+d,含み損50bp,-1485.253623,3.441305,-40.080882,23.564401,0.000000,0.462715,3.673517,1.994864,523,146,523,-495.936358,-989.317265,37.605720,-39.495418,3,258.853904,0,3375,
2件目以降だけ,材料14≥p75,入ってから300秒+d,なし,1967.215714,7.578175,-15.915572,26.378736,0.000000,0.403442,7.352815,2.416852,523,146,523,-211.783786,2178.999500,43.670956,45.046317,3,300.603136,0,3375,
2件目以降だけ,材料14≥p75,入ってから300秒+d,含み損20bp,-1155.966673,-15.113365,-23.328034,17.379907,0.000000,0.611855,1.438389,1.549548,523,146,523,-697.837190,-458.129483,24.565243,-47.057001,2,169.091539,0,3375,
2件目以降だけ,材料14≥p75,入ってから300秒+d,含み損50bp,-1466.645467,2.939827,-38.623577,24.282862,0.000000,0.478011,3.401848,1.980893,523,146,523,-441.689730,-1024.955737,35.915152,-40.836398,3,247.217111,0,3375,
