timestamp,best_bid,best_ask,ltp
1787295723.735,12008954.0,12011724.0,12008954.0
1787295728.811,12009196.0,12011432.0,12008954.0
1787295733.873,12010185.0,12012744.0,12011723.0
1787295738.933,12013623.0,12016014.0,12013374.0
1787295744.114,12016303.0,12018412.0,12016632.0
1787295749.182,12016172.0,12018144.0,12017004.0
1787295754.245,12015606.0,12018418.0,12017004.0
1787295759.303,12020554.0,12022585.0,12022585.0
1787295764.365,12027917.0,12031331.0,12031331.0
1787295769.421,12032014.0,12034900.0,12031519.0
1787295774.472,12036108.0,12038379.0,12038359.0
1787295779.567,12034981.0,12040489.0,12035827.0
1787295784.634,12033441.0,12038497.0,12033441.0
1787295789.696,12029002.0,12030799.0,12029131.0
1787295794.760,12030686.0,12032456.0,12035073.0
1787295799.819,12032354.0,12034884.0,12036361.0
1787295804.886,12032270.0,12033639.0,12032357.0
1787295810.444,12031922.0,12035073.0,12032357.0
1787295815.506,12031450.0,12035073.0,12032357.0
1787295820.623,12030801.0,12034190.0,12032199.0
1787295825.681,12027533.0,12029262.0,12029262.0
1787295830.720,12030827.0,12032738.0,12032674.0
1787295835.776,12030306.0,12032821.0,12032302.0
1787295840.845,12033123.0,12035627.0,12032491.0
1787295845.910,12031806.0,12034026.0,12032491.0
1787295850.978,12026891.0,12030218.0,12029597.0
1787295856.036,12020182.0,12022413.0,12022413.0
1787295861.153,12019848.0,12024654.0,12022879.0
1787295866.212,12021631.0,12024654.0,12022879.0
1787295871.271,12021969.0,12026359.0,12022879.0
1787295876.347,12019796.0,12022491.0,12022491.0
1787295881.433,12023068.0,12025226.0,12023483.0
1787295886.569,12021307.0,12024804.0,12023570.0
1787295891.653,12020175.0,12024149.0,12023570.0
1787295896.743,12021493.0,12024070.0,12023570.0
1787295901.812,12021501.0,12023370.0,12022474.0
1787295906.938,12017791.0,12022590.0,12021226.0
1787295912.347,12018228.0,12022280.0,12021226.0
1787295917.401,12019109.0,12022153.0,12021226.0
1787295922.464,12023177.0,12026382.0,12026382.0
1787295927.522,12021720.0,12027625.0,12028623.0
1787295932.577,12021931.0,12024552.0,12028623.0
1787295937.634,12022845.0,12025200.0,12028623.0
1787295944.824,12021721.0,12023940.0,12022006.0
1787295950.999,12016059.0,12017826.0,12016666.0
1787295956.062,12008941.0,12012098.0,12011004.0
1787295961.113,12010586.0,12015550.0,12014623.0
1787295966.185,12016719.0,12020789.0,12018439.0
1787295971.221,12021653.0,12024119.0,12022238.0
1787295976.256,12018079.0,12020430.0,12021215.0
1787295981.320,12021595.0,12024418.0,12021215.0
1787295986.359,12019771.0,12021035.0,12020215.0
1787295991.400,12019348.0,12022516.0,12022430.0
1787295996.909,12021740.0,12025280.0,12023219.0
1787296001.982,12023646.0,12025380.0,12023219.0
1787296007.041,12028377.0,12031479.0,12023219.0
1787296012.093,12024187.0,12026841.0,12024695.0
1787296017.438,12021430.0,12024230.0,12024187.0
1787296022.776,12022539.0,12022963.0,12022963.0
1787296027.863,12027277.0,12027897.0,12025692.0
1787296032.923,12030140.0,12032772.0,12031812.0
1787296037.957,12030846.0,12034950.0,12035380.0
1787296043.318,12034080.0,12036510.0,12034801.0
1787296050.303,12035112.0,12036765.0,12036765.0
1787296055.360,12033329.0,12035862.0,12031961.0
1787296060.528,12032427.0,12035731.0,12032232.0
1787296065.660,12034850.0,12039558.0,12039579.0
1787296070.766,12033171.0,12036980.0,12034366.0
1787296075.839,12032956.0,12036387.0,12032951.0
1787296081.034,12036303.0,12039998.0,12038571.0
1787296086.470,12035919.0,12038335.0,12040645.0
1787296091.529,12036142.0,12038420.0,12038760.0
1787296096.601,12034596.0,12038173.0,12038760.0
1787296101.638,12039381.0,12040977.0,12039689.0
1787296106.697,12041135.0,12043550.0,12043550.0
1787296111.754,12040907.0,12043400.0,12041254.0
1787296116.973,12037291.0,12040168.0,12038250.0
1787296122.189,12038071.0,12040783.0,12043400.0
1787296127.549,12038970.0,12041390.0,12043400.0
1787296132.611,12041766.0,12043414.0,12043400.0
1787296137.671,12043214.0,12046490.0,12043414.0
1787296142.729,12046501.0,12049379.0,12047764.0
1787296147.811,12044276.0,12047775.0,12046703.0
1787296152.870,12043854.0,12045777.0,12044127.0
1787296157.922,12042894.0,12046364.0,12042575.0
1787296162.988,12046689.0,12048510.0,12049277.0
1787296168.049,12045025.0,12047805.0,12046873.0
1787296175.081,12042699.0,12045763.0,12043381.0
1787296180.141,12042752.0,12044571.0,12043381.0
1787296185.211,12042428.0,12045630.0,12043381.0
1787296190.276,12042482.0,12045944.0,12043381.0
1787296195.338,12041636.0,12045391.0,12041421.0
1787296200.375,12043886.0,12046460.0,12045926.0
1787296205.444,12047042.0,12047920.0,12046204.0
1787296210.501,12048494.0,12049579.0,12046204.0
1787296215.570,12050501.0,12054564.0,12051647.0
1787296220.648,12052684.0,12058430.0,12054671.0
1787296225.707,12058881.0,12059236.0,12057676.0
1787296230.765,12055800.0,12058064.0,12058064.0
1787296235.823,12053397.0,12055040.0,12053397.0
1787296240.881,12049735.0,12053397.0,12052273.0
1787296245.955,12044432.0,12048544.0,12042671.0
1787296250.991,12048003.0,12054310.0,12050667.0
1787296256.033,12048789.0,12055224.0,12054310.0
1787296261.073,12056321.0,12060070.0,12060090.0
1787296266.114,12053176.0,12055425.0,12055389.0
1787296271.174,12051438.0,12054925.0,12054107.0
1787296276.239,12050254.0,12052810.0,12050383.0
1787296281.319,12050740.0,12056613.0,12050682.0
1787296286.449,12056934.0,12059812.0,12056633.0
1787296291.507,12055241.0,12058993.0,12056633.0
1787296296.588,12055828.0,12060577.0,12055242.0
