cascade_id,day,start_ms,end_ms,bundle_width_ms,direction,n_events,tie_after_shift,path_after_shift,tie_before,path_before,anchor_ts_ms,anchor_price,anchor_before_ts_ms,anchor_before_price,anchor_lag_ms,anchor_price_diff_bp,bp_1m_diff,bp_5m_diff,bp_15m_diff,bp_30m_diff,bp_60m_diff,bp_240m_diff
binance_cm_real_000105,2023-06-27,1687872003253,1687872003253,0,long,1,True,time_resolution,True,time_resolution,1687872003253,30582.5,1687872003253,30582.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000106,2023-06-27,1687872246758,1687872246758,0,long,1,True,time_resolution,True,time_resolution,1687872246758,30577.5,1687872246758,30577.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000107,2023-06-27,1687873369847,1687873369847,0,long,1,True,time_resolution,True,time_resolution,1687873369847,30542.6,1687873369847,30542.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000108,2023-06-27,1687874580992,1687874726920,145928,short,16,False,,False,,1687874726920,30932.8,1687874726920,30932.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000109,2023-06-27,1687874853617,1687874931056,77439,short,4,False,,False,,1687874931056,30997.4,1687874931056,30997.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000110,2023-06-27,1687875142075,1687875152532,10457,long,3,False,,False,,1687875152532,30645.3,1687875152532,30645.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000111,2023-06-27,1687876276343,1687876276343,0,short,1,True,time_resolution,True,time_resolution,1687876276343,30875.0,1687876276343,30875.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000112,2023-06-27,1687876914230,1687876914230,0,long,1,True,time_resolution,True,time_resolution,1687876914230,30730.6,1687876914230,30730.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000113,2023-06-27,1687878622040,1687878664979,42939,long,5,False,,False,,1687878664979,30571.8,1687878664979,30571.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000114,2023-06-27,1687880461415,1687880475128,13713,long,8,False,,False,,1687880475128,30387.4,1687880475128,30387.5,0,-0.03290826820190697,0.03300454313965062,0.033062048192455507,0.03306475558665056,0.03307179481157618,0.03316287155244879,0.033248208617621344
binance_cm_real_000115,2023-06-27,1687884145392,1687884304203,158811,short,5,False,,False,,1687884304203,30732.9,1687884304203,30732.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000116,2023-06-27,1687888735271,1687888735271,0,short,1,True,time_resolution,True,time_resolution,1687888735271,30754.8,1687888735271,30754.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000117,2023-06-27,1687897638093,1687897638093,0,long,1,False,,True,time_resolution,1687897640133,30602.9,1687897638021,30602.8,2040,0.032676748533527256,-0.032678563736416755,1.6123271534773664e-05,-0.03265080180987212,-0.032714120357722365,-0.0327063256629625,-0.16328070320593469
binance_cm_real_000118,2023-06-27,1687897728161,1687897748369,20208,long,4,False,,False,,1687897748369,30558.3,1687897748369,30555.9,0,0.785445691338765,-0.7856050510965491,-0.7865766315552989,-0.7859674660295752,-0.7874788134098516,-0.7873348755641132,-0.7844843921547113
binance_cm_real_000119,2023-06-27,1687903371227,1687903371227,0,short,1,True,time_resolution,True,time_resolution,1687903371227,30727.8,1687903371227,30727.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000120,2023-06-28,1687911504531,1687911611274,106743,long,4,False,,False,,1687911611274,30493.5,1687911611274,30493.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000121,2023-06-28,1687911801102,1687911810126,9024,long,2,False,,False,,1687911810126,30470.1,1687911810126,30470.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000122,2023-06-28,1687916137755,1687916137755,0,long,1,True,time_resolution,True,time_resolution,1687916137755,30521.3,1687916137755,30521.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000123,2023-06-28,1687917482420,1687917482420,0,long,1,True,time_resolution,True,time_resolution,1687917482420,30469.5,1687917482420,30469.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000124,2023-06-28,1687920698479,1687920716707,18228,long,7,False,,False,,1687920716709,30344.8,1687920716623,30344.7,2,0.03295468401353278,-0.03301463163412777,-0.0330437366383336,-0.033047103261957034,-0.033047320463481356,-0.033079140486734104,-0.03303548298042358
