t_date,t1_date,close_t,lot_units,notional_yen,fee_yen_per_execution,fee_bps_roundtrip,cost_conservative_bps,cost_conservative_plus_oldfee_bps,r_night_used_bps,net_conservative_plus_oldfee_bps
2015-11-02,2015-11-04,1814.0,55.0,99770.0,55.0,11.025358324145534,11.025358324145534,22.05071664829107,33.0760749724357,11.02535832414463
2015-11-04,2015-11-05,1807.0,55.0,99385.0,55.0,11.068068622025455,11.068068622025455,22.13613724405091,44.27227448810189,22.136137244050982
2015-11-05,2015-11-06,1832.0,55.0,100760.0,99.0,19.650655021834062,10.91703056768559,30.56768558951965,9.825327510917248,-20.742358078602404
2015-11-06,2015-11-09,1810.0,55.0,99550.0,55.0,11.049723756906078,11.049723756906078,22.099447513812155,-27.62430939226568,-49.72375690607784
2015-11-09,2015-11-10,1803.0,55.0,99165.0,55.0,11.092623405435386,11.092623405435386,22.185246810870773,-11.092623405435376,-33.27787021630615
2015-11-10,2015-11-11,1808.0,55.0,99440.0,55.0,11.061946902654867,11.061946902654867,22.123893805309734,-16.59292035398274,-38.716814159292475
2015-11-11,2015-11-12,1816.0,55.0,99880.0,55.0,11.013215859030838,11.013215859030838,22.026431718061676,-5.506607929515184,-27.53303964757686
2015-11-12,2015-11-13,1807.0,55.0,99385.0,55.0,11.068068622025455,11.068068622025455,22.13613724405091,11.068068622024363,-11.068068622026548
2015-11-13,2015-11-16,1804.0,55.0,99220.0,55.0,11.086474501108647,11.086474501108647,22.172949002217294,-33.25942350332567,-55.432372505542965
2015-11-16,2015-11-17,1808.0,55.0,99440.0,55.0,11.061946902654867,11.061946902654867,22.123893805309734,27.654867256636795,5.5309734513270605
2015-11-17,2015-11-18,1840.0,54.0,99360.0,55.0,11.070853462157809,10.869565217391305,21.94041867954911,-43.47826086956496,-65.41867954911407
2015-11-18,2015-11-19,1830.0,55.0,100650.0,99.0,19.672131147540984,10.92896174863388,30.601092896174862,10.928961748633004,-19.672131147541858
2015-11-19,2015-11-20,1831.0,55.0,100705.0,99.0,19.661387220098305,10.922992900054615,30.58438012015292,-5.461496450027692,-36.04587657018061
